"","Catchsim","Year","Catchest","Scenario"
"1",6714.12322450683,1986,6918.151,1
"2",8154.32226323653,1987,8036.948,1
"3",9714.78699135907,1988,9621.4885,1
"4",8402.12074026061,1989,8405.94,1
"5",14003.7340668444,1990,13926.645,1
"6",17916.6395960877,1991,17813.01,1
"7",16849.6076579141,1992,16840.125,1
"8",11260.3528475583,1993,11254.435,1
"9",7568.70404268023,1994,7577.743,1
"10",5812.52529517004,1995,5809.612,1
"11",5004.91654551501,1996,4993.6765,1
"12",5452.38964077071,1997,5454.619,1
"13",4213.11684502266,1998,4211.825,1
"14",3321.00281333194,1999,3328.623,1
"15",2429.52977317619,2000,2428.3595,1
"16",3527.58625301719,2001,3535.8145,1
"17",4393.9862182332,2002,4374.199,1
"18",4240.3012884208,2003,4233.2625,1
"19",4684.84265836972,2004,4696.0655,1
"20",4707.148984831,2005,4705.8205,1
"21",5284.61296577405,2006,5298.007,1
"22",3162.68866118029,2007,3160.465,1
"23",3897.52122164339,2008,3905.063,1
"24",5274.08022447947,2009,5279.7455,1
"25",5663.61270725673,2010,5672.4435,1
"26",5398.15407042571,2011,5402.753,1
"27",5152.42581169272,2012,5143.8545,1
"28",3039.01853263663,2013,3034.5645,1
"29",1947.80968159948,2014,1943.5665,1
"30",1245.11330805807,2015,1243.8975,1
"31",260.642551934866,2016,260.5386,1
"32",580.032677377118,2017,579.6091,1
"33",860.913139705072,2018,861.56355,1
"34",83.727957184679,2019,83.0999,1
"35",116.982274608037,2020,116.05685,1
"36",274.938957556551,2021,278.0573,1
"37",363.172737868812,2022,365.5785,1
"38",1058.88482876418,2023,1051.287,1
"39",1209.39234369413,2024,1195.0285,1
"40",1952.74044640233,2025,1950.3365,1
"41",2192.89121603951,2026,2199.227,1
"42",2445.07590116656,2027,2474.3145,1
"43",2634.86510824725,2028,2654.9415,1
"44",2858.90110047517,2029,2870.611,1
"45",2986.61886348156,2030,2982.076,1
"46",3126.8062736889,2031,3157.085,1
"47",3183.87836217914,2032,3200.892,1
"48",3286.99972554278,2033,3268.426,1
"49",3331.45309625656,2034,3335.338,1
"50",3345.22496291734,2035,3326.0575,1
"51",3327.06006843465,2036,3317.039,1
"52",3395.70914122534,2037,3365.563,1
