"","Catchsim","Year","Catchest","Scenario"
"1",1915.69511726897,2038,9342.426,1
"2",1726.05034838868,2039,9807.849,1
"3",NA,2040,9382.781,1
"4",3366.01789532763,2038,6781.605,2
"5",3404.4003088657,2039,8009.452,2
"6",NA,2040,9628.905,2
"7",3358.52021972167,2038,6732.3705,3
"8",3389.25389983736,2039,7963.5845,3
"9",NA,2040,9599.7535,3
"10",4160.13177100644,2038,6799.6385,4
"11",3947.22761495006,2039,8004.455,4
"12",NA,2040,9615.342,4
"13",1851.73851429796,2038,9598.739,5
"14",1873.2717213319,2039,10641.38,5
"15",NA,2040,8889.4035,5
"16",2044.66626985633,2038,9624.43,6
"17",2047.57666703656,2039,10669.71,6
"18",NA,2040,8899.755,6
"19",1932.15464607453,2038,9622.5255,7
"20",1931.76061685089,2039,10714.855,7
"21",NA,2040,8863.713,7
"22",2117.96511155263,2038,9598.018,8
"23",2107.12075813745,2039,10694.615,8
"24",NA,2040,8877.1345,8
"25",1858.63408148355,2038,9885.1765,9
"26",1811.22048223004,2039,9613.54,9
"27",NA,2040,10404.715,9
"28",1850.71615103518,2038,9850.589,10
"29",1818.24632444272,2039,9647.4855,10
"30",NA,2040,10399.88,10
"31",1805.08248079983,2038,9847.064,11
"32",1778.45938071292,2039,9611.35,11
"33",NA,2040,10384.98,11
"34",2509.9238909508,2038,9890.1085,12
"35",2299.79076391255,2039,9625.4995,12
"36",NA,2040,10416.735,12
"37",947.121363999572,2038,10683.325,13
"38",975.433472534325,2039,11368.395,13
"39",NA,2040,9151.282,13
"40",961.052441189963,2038,10679.89,14
"41",983.445821038569,2039,11372.71,14
"42",NA,2040,9129.603,14
"43",907.589770562246,2038,10732.89,15
"44",950.307492912493,2039,11433.42,15
"45",NA,2040,9176,15
"46",825.697180868891,2038,10654.01,16
"47",893.744037979527,2039,11409.78,16
"48",NA,2040,9071.485,16
"49",931.84144754336,2038,10721.52,17
"50",955.71680812101,2039,11436.95,17
"51",NA,2040,9152.918,17
"52",965.328931499075,2038,10732.2,18
"53",977.982241542794,2039,11416.29,18
"54",NA,2040,9148.187,18
"55",864.670741473228,2038,10734.67,19
"56",908.348880249366,2039,11462.84,19
"57",NA,2040,9135.313,19
"58",830.342276548743,2038,10698.39,20
"59",870.859223248365,2039,11395.58,20
"60",NA,2040,9092.6195,20
"61",954.060647425413,2038,10657.775,21
"62",966.233634766817,2039,11423.015,21
"63",NA,2040,9110.7585,21
"64",969.380524427528,2038,10683.24,22
"65",949.347752148557,2039,11422.31,22
"66",NA,2040,9097.867,22
"67",918.097367311346,2038,10689.775,23
"68",915.07787108514,2039,11391.195,23
"69",NA,2040,9171.1345,23
"70",834.965422055943,2038,10628.465,24
"71",821.230267419753,2039,11367.31,24
"72",NA,2040,9117.7065,24
"73",128.7707305162,2038,7.871642,25
"74",125.598180565775,2039,9.99012,25
"75",NA,2040,7.46866,25
"76",127.316659022184,2038,7.888844,26
"77",119.821398970308,2039,9.9678565,26
"78",NA,2040,7.468914,26
"79",126.247982589745,2038,7.8615625,27
"80",118.713002777803,2039,9.9888445,27
"81",NA,2040,7.496986,27
"82",154.94303648425,2038,7.926383,28
"83",144.911998155744,2039,9.995933,28
"84",NA,2040,7.502816,28
"85",110.448178902408,2038,7.9092855,29
"86",111.61088800969,2039,9.9807905,29
"87",NA,2040,7.4964005,29
"88",115.7584407658,2038,7.919395,30
"89",111.414109504052,2039,9.987963,30
"90",NA,2040,7.494969,30
"91",124.963984699355,2038,7.9024505,31
"92",121.268259930697,2039,10.036995,31
"93",NA,2040,7.487127,31
"94",137.244742473449,2038,7.851023,32
"95",129.572874250648,2039,9.959199,32
"96",NA,2040,7.496753,32
