"","catch","Time","Scenario"
"1",367.593734575816,"Short-term",1
"2",195.477282606629,"Short-term",1
"3",204.271810937227,"Short-term",1
"4",607.912494657466,"Short-term",1
"5",222.89862319859,"Short-term",1
"6",293.999806071523,"Short-term",1
"7",112.785355964813,"Short-term",1
"8",263.678940247066,"Short-term",1
"9",289.490632144034,"Short-term",1
"10",263.668582438763,"Short-term",1
"11",487.967338194592,"Short-term",1
"12",184.912356602214,"Short-term",1
"13",451.410283305525,"Short-term",1
"14",535.740070359173,"Short-term",1
"15",241.206131666676,"Short-term",1
"16",200.33366528489,"Short-term",1
"17",408.150751660014,"Short-term",1
"18",115.782822356631,"Short-term",1
"19",76.2930296778185,"Short-term",1
"20",355.118946496749,"Short-term",1
"21",323.851216442627,"Short-term",1
"22",412.859241110709,"Short-term",1
"23",267.648918129694,"Short-term",1
"24",316.35270999351,"Short-term",1
"25",105.775796407654,"Short-term",1
"26",234.337090403476,"Short-term",1
"27",582.334954579655,"Short-term",1
"28",393.022786863107,"Short-term",1
"29",520.086695381603,"Short-term",1
"30",255.866253700823,"Short-term",1
"31",445.192074437873,"Short-term",1
"32",132.01647865483,"Short-term",1
"33",88.6524008194583,"Short-term",1
"34",214.367829817469,"Short-term",1
"35",267.776749585104,"Short-term",1
"36",230.493992201728,"Short-term",1
"37",146.593212073543,"Short-term",1
"38",194.554054339197,"Short-term",1
"39",185.833683057962,"Short-term",1
"40",184.492031240598,"Short-term",1
"41",181.097206436044,"Short-term",1
"42",479.817882267784,"Short-term",1
"43",234.379015833409,"Short-term",1
"44",180.692096199524,"Short-term",1
"45",211.120628284557,"Short-term",1
"46",315.676798872911,"Short-term",1
"47",324.622766883298,"Short-term",1
"48",369.845989498342,"Short-term",1
"49",454.148473618181,"Short-term",1
"50",735.627726025501,"Short-term",1
"51",105.790060941443,"Short-term",1
"52",141.878577725673,"Short-term",1
"53",362.857935380012,"Short-term",1
"54",208.704858690976,"Short-term",1
"55",254.604305016626,"Short-term",1
"56",223.586127205538,"Short-term",1
"57",504.936266102732,"Short-term",1
"58",205.876176240182,"Short-term",1
"59",418.405314245825,"Short-term",1
"60",139.601304267946,"Short-term",1
"61",93.4666011522117,"Short-term",1
"62",137.342922498541,"Short-term",1
