"","F_full","Year","Fest","Scenario"
"1",0.8563994,1986,0.7990341,1
"2",0.8681519,1987,0.8094833,1
"3",0.6547805,1988,0.61294,1
"4",0.9745814,1989,0.9352006,1
"5",1.198393,1990,1.173658,1
"6",1.18376,1991,1.186438,1
"7",1.279991,1992,1.309809,1
"8",1.543551,1993,1.590214,1
"9",1.332879,1994,1.43021,1
"10",0.916881,1995,1.040489,1
"11",0.8162326,1996,0.9815618,1
"12",0.6711441,1997,0.8608584,1
"13",0.5597291,1998,0.7645087,1
"14",0.3747781,1999,0.5300615,1
"15",0.4428962,2000,0.6325721,1
"16",0.4594742,2001,0.6737255,1
"17",0.3626093,2002,0.5328752,1
"18",0.3926542,2003,0.5593009,1
"19",0.4701816,2004,0.6493266,1
"20",0.6450534,2005,0.8932761,1
"21",0.4354878,2006,0.600154,1
"22",0.481724,2007,0.6326639,1
"23",0.6653683,2008,0.8376614,1
"24",0.7703221,2009,0.9401333,1
"25",0.8866648,2010,1.050042,1
"26",1.307762,2011,1.506492,1
"27",1.481667,2012,1.705248,1
"28",1.858794,2013,2.256564,1
"29",1.668793,2014,2.561836,1
"30",0.2698311,2015,0.497294,1
"31",0.3742287,2016,0.7081946,1
"32",0.3788805,2017,0.7981649,1
"33",0.198409,2018,0.4588595,1
"34",0.0742397286689716,2019,0.1707761,1
"35",0.0844372739232826,2020,0.1759238,1
"36",0.12273464824895,2021,0.2304455,1
"37",0.143548286117431,2022,0.2473848,1
"38",0.222005938640617,2023,0.3734969,1
"39",0.259626788912043,2024,0.4319717,1
"40",0.308248931338152,2025,0.5044271,1
"41",0.373311893541277,2026,0.6289366,1
"42",0.267514661287387,2027,0.4648409,1
"43",0.321900713621625,2028,0.5769017,1
"44",0.201681051387819,2029,0.3780883,1
"45",0.243085948086681,2030,0.439683,1
"46",0.190696628565388,2031,0.3350061,1
"47",0.234897248373665,2032,0.3922194,1
"48",0.198707110950076,2033,0.3192237,1
"49",0.241278947905967,2034,0.3542596,1
"50",0.200428916703251,2035,0.2635137,1
"51",0.237887356220417,2036,0.2684678,1
"52",0.187106484121038,2037,0.1890343,1
"53",0.96721,1986,1.039465,2
"54",0.836977,1987,0.8620278,2
"55",0.852962,1988,0.8760291,2
"56",0.6555,1989,0.6716373,2
"57",0.956372,1990,0.9762025,2
"58",1.19324,1991,1.212913,2
"59",1.2111,1992,1.225712,2
"60",1.31222,1993,1.329018,2
"61",1.60134,1994,1.636577,2
"62",1.4559,1995,1.488504,2
"63",1.05505,1996,1.073165,2
"64",0.990981,1997,0.9985003,2
"65",0.862996,1998,0.869657,2
"66",0.762063,1999,0.7674727,2
"67",0.524024,2000,0.5283258,2
"68",0.624922,2001,0.6313178,2
"69",0.666422,2002,0.6710966,2
"70",0.531522,2003,0.5344822,2
"71",0.558618,2004,0.5630347,2
"72",0.647474,2005,0.6513223,2
"73",0.879411,2006,0.8892352,2
"74",0.582746,2007,0.5894044,2
"75",0.617485,2008,0.624439,2
"76",0.82387,2009,0.8329046,2
"77",0.934049,2010,0.9433501,2
"78",1.04277,2011,1.056006,2
"79",1.50474,2012,1.523277,2
"80",1.69086,2013,1.726087,2
"81",2.17901,2014,2.231531,2
"82",2.22469,2015,2.261426,2
"83",0.370279,2016,0.373796,2
"84",0.459487,2017,0.4571371,2
"85",0.419339,2018,0.416462,2
"86",0.0420675131402547,2019,0.04180622,2
"87",0.0369794699127927,2020,0.03705785,2
"88",0.0369794679418479,2021,0.03665847,2
"89",0.0541753634642529,2022,0.05387511,2
"90",0.0541755321338514,2023,0.05371342,2
"91",0.0971061525465083,2024,0.096119395,2
"92",0.0971050022537276,2025,0.09538469,2
"93",0.135982986081738,2026,0.13450935,2
"94",0.135982829955463,2027,0.13448985,2
"95",0.138502507193338,2028,0.1383151,2
"96",0.138503015054614,2029,0.1383589,2
"97",0.140991879976264,2030,0.13858615,2
"98",0.14099354801461,2031,0.13903725,2
"99",0.140101501588868,2032,0.13912295,2
"100",0.140105361433321,2033,0.1377578,2
"101",0.138987233936269,2034,0.13741355,2
"102",0.138980975307878,2035,0.1383512,2
"103",0.137583618460424,2036,0.1375784,2
"104",0.137581867133405,2037,0.1370856,2
"105",0.96721,1986,1.051559,3
"106",0.836977,1987,0.8701455,3
"107",0.852962,1988,0.8818916,3
"108",0.6555,1989,0.6776402,3
"109",0.956372,1990,0.98367925,3
"110",1.19324,1991,1.212418,3
"111",1.2111,1992,1.2302155,3
"112",1.31222,1993,1.339321,3
"113",1.60134,1994,1.6407255,3
"114",1.4559,1995,1.492099,3
"115",1.05505,1996,1.073184,3
"116",0.990981,1997,1.004482,3
"117",0.862996,1998,0.8759405,3
"118",0.762063,1999,0.7728283,3
"119",0.524024,2000,0.5324858,3
"120",0.624922,2001,0.63315225,3
"121",0.666422,2002,0.67769915,3
"122",0.531522,2003,0.53482795,3
"123",0.558618,2004,0.56057665,3
"124",0.647474,2005,0.6521134,3
"125",0.879411,2006,0.8869622,3
"126",0.582746,2007,0.59356955,3
"127",0.617485,2008,0.6276245,3
"128",0.82387,2009,0.8382512,3
"129",0.934049,2010,0.95128955,3
"130",1.04277,2011,1.058664,3
"131",1.50474,2012,1.534787,3
"132",1.69086,2013,1.733261,3
"133",2.17901,2014,2.238588,3
"134",2.22469,2015,2.278089,3
"135",0.370279,2016,0.37737405,3
"136",0.459487,2017,0.4632898,3
"137",0.419339,2018,0.4222891,3
"138",0.130782847249027,2019,0.13124695,3
"139",0.128564925154078,2020,0.12951255,3
"140",0.128565362157657,2021,0.1296705,3
"141",0.126951015221057,2022,0.1265842,3
"142",0.12695255461344,2023,0.12646605,3
"143",0.127065238371653,2024,0.1262254,3
"144",0.127065202789596,2025,0.12695505,3
"145",0.127566121382272,2026,0.1288524,3
"146",0.127567659728645,2027,0.1279047,3
"147",0.132646854131844,2028,0.132945,3
"148",0.132645065411805,2029,0.1327071,3
"149",0.1364599048657,2030,0.1365494,3
"150",0.13646005276707,2031,0.13639745,3
