"","REEF","Year","Scenario"
"1",108.585728516442,2019,21
"2",-38.2600196529482,2020,21
"3",-45.4365184106473,2021,21
"4",-51.2362212971676,2022,21
"5",-49.2345217340569,2023,21
"6",-48.3840984245364,2024,21
"7",-35.1423991221269,2025,21
"8",-24.8803188334298,2026,21
"9",-12.8080326544198,2027,21
"10",-13.5417829205667,2028,21
"11",-8.43057850985427,2029,21
"12",-9.79611074569593,2030,21
"13",-6.0069766403045,2031,21
"14",-7.9356865283643,2032,21
"15",-7.76366354508145,2033,21
"16",-5.26242076093674,2034,21
"17",-4.68697555299706,2035,21
"18",-1.24853129548014,2036,21
"19",-2.92029841862982,2037,21
"20",2.23897251182155,2038,21
"21",2.59110900153773,2039,21
