"","REEF","Year","Scenario"
"1",108.585728516442,2019,22
"2",NA,2020,22
"3",-45.4365184106473,2021,22
"4",NA,2022,22
"5",-49.2345217340569,2023,22
"6",NA,2024,22
"7",-35.1423991221269,2025,22
"8",NA,2026,22
"9",-12.8080326544198,2027,22
"10",NA,2028,22
"11",-8.43057850985427,2029,22
"12",NA,2030,22
"13",-6.0069766403045,2031,22
"14",NA,2032,22
"15",-7.76366354508145,2033,22
"16",NA,2034,22
"17",-4.68697555299706,2035,22
"18",NA,2036,22
"19",-2.92029841862982,2037,22
"20",NA,2038,22
"21",2.59110900153773,2039,22
"22",108.585728516442,2019,24
"23",NA,2020,24
"24",-45.4365184106473,2021,24
"25",NA,2022,24
"26",-49.2345217340569,2023,24
"27",NA,2024,24
"28",-35.1423991221269,2025,24
"29",NA,2026,24
"30",-12.8080326544198,2027,24
"31",NA,2028,24
"32",-8.43057850985427,2029,24
"33",NA,2030,24
"34",-6.0069766403045,2031,24
"35",NA,2032,24
"36",-7.76366354508145,2033,24
"37",NA,2034,24
"38",-4.68697555299706,2035,24
"39",NA,2036,24
"40",-2.92029841862982,2037,24
"41",NA,2038,24
"42",2.59110900153773,2039,24
