,REEF,Year,Scenario
1,58.90366125,2019,22
2,NA,2020,22
3,-40.78110884,2021,22
4,NA,2022,22
5,-44.07621552,2023,22
6,NA,2024,22
7,-27.80317419,2025,22
8,NA,2026,22
9,-10.1375191,2027,22
10,NA,2028,22
11,-7.326173983,2029,22
12,NA,2030,22
13,-3.966793884,2031,22
14,NA,2032,22
15,-0.445405544,2033,22
16,NA,2034,22
17,-1.139726038,2035,22
18,NA,2036,22
19,2.939165218,2037,22
20,NA,2038,22
21,8.29122945,2039,22
22,-16.74070015,2019,23
23,NA,2020,23
24,-23.60347669,2021,23
25,NA,2022,23
26,-23.0750557,2023,23
27,NA,2024,23
28,-13.0429101,2025,23
29,NA,2026,23
30,-10.40166037,2027,23
31,NA,2028,23
32,-12.38192391,2029,23
33,NA,2030,23
34,-9.493996159,2031,23
35,NA,2032,23
36,-6.453008778,2033,23
37,NA,2034,23
38,-4.327779511,2035,23
39,NA,2036,23
40,1.949541059,2037,23
41,NA,2038,23
42,2.951592995,2039,23
43,10.94097992,2019,24
44,NA,2020,24
45,-20.78473476,2021,24
46,NA,2022,24
47,-35.79204052,2023,24
48,NA,2024,24
49,-36.73465317,2025,24
50,NA,2026,24
51,-40.30106925,2027,24
52,NA,2028,24
53,-43.08672758,2029,24
54,NA,2030,24
55,-39.37929278,2031,24
56,NA,2032,24
57,-19.5140377,2033,24
58,NA,2034,24
59,8.703923558,2035,24
60,NA,2036,24
61,19.20444863,2037,24
62,NA,2038,24
63,9.983514052,2039,24
64,-83.96792033,2019,25
65,NA,2020,25
66,-6.815832795,2021,25
67,NA,2022,25
68,23.21074064,2023,25
69,NA,2024,25
70,1.388327326,2025,25
71,NA,2026,25
72,-1.078431524,2027,25
73,NA,2028,25
74,-1.589215445,2029,25
75,NA,2030,25
76,-3.421518936,2031,25
77,NA,2032,25
78,-3.218232168,2033,25
79,NA,2034,25
80,-4.954402071,2035,25
81,NA,2036,25
82,-3.486559108,2037,25
83,NA,2038,25
84,-3.979949503,2039,25
85,-83.85284469,2019,26
86,NA,2020,26
87,-7.555352869,2021,26
88,NA,2022,26
89,29.99219648,2023,26
90,NA,2024,26
91,2.44122529,2025,26
92,NA,2026,26
93,-1.204018458,2027,26
94,NA,2028,26
95,-0.789893306,2029,26
96,NA,2030,26
97,-1.696597207,2031,26
98,NA,2032,26
99,-3.473716381,2033,26
100,NA,2034,26
101,-3.338945169,2035,26
102,NA,2036,26
103,-0.721681461,2037,26
104,NA,2038,26
105,-3.970427699,2039,26
106,-83.77398298,2019,27
107,NA,2020,27
108,-6.264962754,2021,27
109,NA,2022,27
110,25.74834493,2023,27
111,NA,2024,27
112,2.824456952,2025,27
113,NA,2026,27
114,-4.175511946,2027,27
115,NA,2028,27
116,-2.676898875,2029,27
117,NA,2030,27
118,-2.662038479,2031,27
119,NA,2032,27
120,-3.445798277,2033,27
121,NA,2034,27
122,-4.048284373,2035,27
123,NA,2036,27
124,-3.551862296,2037,27
125,NA,2038,27
126,-2.791891681,2039,27
127,307.4467862,2019,28
128,NA,2020,28
129,13.52437972,2021,28
130,NA,2022,28
131,-45.13122997,2023,28
132,NA,2024,28
133,-36.95418366,2025,28
134,NA,2026,28
135,-30.32249263,2027,28
136,NA,2028,28
137,-34.89673779,2029,28
138,NA,2030,28
139,-34.46141447,2031,28
140,NA,2032,28
141,-33.93324656,2033,28
142,NA,2034,28
143,-30.75745764,2035,28
144,NA,2036,28
145,-17.04582307,2037,28
146,NA,2038,28
147,-9.35694487,2039,28
148,-84.0505612,2019,29
149,NA,2020,29
150,-7.182203774,2021,29
151,NA,2022,29
152,31.01449362,2023,29
153,NA,2024,29
154,14.88485819,2025,29
155,NA,2026,29
156,9.92159528,2027,29
157,NA,2028,29
158,11.78346905,2029,29
159,NA,2030,29
160,9.704864572,2031,29
161,NA,2032,29
162,15.18213752,2033,29
163,NA,2034,29
164,17.59095361,2035,29
165,NA,2036,29
166,15.97285099,2037,29
167,NA,2038,29
168,11.21489864,2039,29
169,-83.50430427,2019,30
170,NA,2020,30
171,-6.075968774,2021,30
172,NA,2022,30
173,40.0775431,2023,30
174,NA,2024,30
175,14.45425318,2025,30
176,NA,2026,30
177,10.69712909,2027,30
178,NA,2028,30
179,12.68941997,2029,30
180,NA,2030,30
181,13.10550136,2031,30
182,NA,2032,30
183,15.91709486,2033,30
184,NA,2034,30
185,18.50509361,2035,30
186,NA,2036,30
187,17.27376776,2037,30
188,NA,2038,30
189,11.81899833,2039,30
190,-83.81973176,2019,31
191,NA,2020,31
192,-6.490350945,2021,31
193,NA,2022,31
194,30.17342631,2023,31
195,NA,2024,31
196,18.19317843,2025,31
197,NA,2026,31
198,11.34761644,2027,31
199,NA,2028,31
200,10.45756463,2029,31
201,NA,2030,31
202,11.54607781,2031,31
203,NA,2032,31
204,14.78413,2033,31
205,NA,2034,31
206,18.48171393,2035,31
207,NA,2036,31
208,15.30790734,2037,31
209,NA,2038,31
210,11.8792031,2039,31
211,308.5150213,2019,32
212,NA,2020,32
213,14.06810831,2021,32
214,NA,2022,32
215,-42.75826405,2023,32
216,NA,2024,32
217,-33.9044414,2025,32
218,NA,2026,32
219,-26.07517288,2027,32
220,NA,2028,32
221,-30.15237888,2029,32
222,NA,2030,32
223,-26.04623475,2031,32
224,NA,2032,32
225,-17.84664803,2033,32
226,NA,2034,32
227,-3.969886456,2035,32
228,NA,2036,32
229,10.65374562,2037,32
230,NA,2038,32
231,14.65487728,2039,32
