"","REESSB","Year","Scenario"
"1",-13.0250238789797,2019,1
"2",NA,2020,1
"3",-18.6053754294989,2021,1
"4",NA,2022,1
"5",-9.65334104498931,2023,1
"6",NA,2024,1
"7",1.46955164033517,2025,1
"8",NA,2026,1
"9",-2.00613845499064,2027,1
"10",NA,2028,1
"11",-7.24657253732396,2029,1
"12",NA,2030,1
"13",-8.65857616581096,2031,1
"14",NA,2032,1
"15",-3.88225096080111,2033,1
"16",NA,2034,1
"17",-2.2461823647467,2035,1
"18",NA,2036,1
"19",-6.24454219370059,2037,1
"20",NA,2038,1
"21",-10.1541373154918,2039,1
"22",-26.9382240463229,2019,2
"23",NA,2020,2
"24",-26.6947407755545,2021,2
"25",NA,2022,2
"26",-24.562655767289,2023,2
"27",NA,2024,2
"28",-15.1367738388346,2025,2
"29",NA,2026,2
"30",-11.8695317015023,2027,2
"31",NA,2028,2
"32",-4.70260492171977,2029,2
"33",NA,2030,2
"34",-3.20662962154437,2031,2
"35",NA,2032,2
"36",-1.46051714479803,2033,2
"37",NA,2034,2
"38",-0.838266345093767,2035,2
"39",NA,2036,2
"40",-1.56821358868371,2037,2
"41",NA,2038,2
"42",-0.79900756053526,2039,2
"43",-25.4209821431026,2019,3
"44",NA,2020,3
"45",-19.8471356042111,2021,3
"46",NA,2022,3
"47",-19.3507524274336,2023,3
"48",NA,2024,3
"49",-14.1698214624685,2025,3
"50",NA,2026,3
"51",-11.5441905422212,2027,3
"52",NA,2028,3
"53",-6.98940501117535,2029,3
"54",NA,2030,3
"55",-3.55510237483239,2031,3
"56",NA,2032,3
"57",0.66727974704378,2033,3
"58",NA,2034,3
"59",0.811134194027209,2035,3
"60",NA,2036,3
"61",0.547663528281919,2037,3
"62",NA,2038,3
"63",-1.48614301937678,2039,3
"64",-26.76240353614,2019,4
"65",NA,2020,4
"66",-20.1621786352953,2021,4
"67",NA,2022,4
"68",-19.8833836862452,2023,4
"69",NA,2024,4
"70",-17.7917958708802,2025,4
"71",NA,2026,4
"72",-16.2161016991802,2027,4
"73",NA,2028,4
"74",-10.1967930494486,2029,4
"75",NA,2030,4
"76",-6.22034910607011,2031,4
"77",NA,2032,4
"78",-1.19494246936844,2033,4
"79",NA,2034,4
"80",2.3280838732571,2035,4
"81",NA,2036,4
"82",5.29926200088137,2037,4
"83",NA,2038,4
"84",6.14743398231107,2039,4
"85",2.30394546535534,2019,5
"86",NA,2020,5
"87",-14.1337464626803,2021,5
"88",NA,2022,5
"89",-3.64179199051584,2023,5
"90",NA,2024,5
"91",13.6501769808206,2025,5
"92",NA,2026,5
"93",23.0848014693432,2027,5
"94",NA,2028,5
"95",15.0311490760125,2029,5
"96",NA,2030,5
"97",-6.90112837458307,2031,5
"98",NA,2032,5
"99",-17.1053348703586,2033,5
"100",NA,2034,5
"101",-20.8449367836172,2035,5
"102",NA,2036,5
"103",-17.7246414237061,2037,5
"104",NA,2038,5
"105",-15.5660039330884,2039,5
"106",1.54390966793539,2019,6
"107",NA,2020,6
"108",-13.5555672579502,2021,6
"109",NA,2022,6
"110",-2.14179792813754,2023,6
"111",NA,2024,6
"112",7.38079707769748,2025,6
"113",NA,2026,6
"114",8.83490645819465,2027,6
"115",NA,2028,6
"116",0.543161331511685,2029,6
"117",NA,2030,6
"118",-13.1726022163847,2031,6
"119",NA,2032,6
"120",-17.1989513336203,2033,6
"121",NA,2034,6
"122",-18.4331194988327,2035,6
"123",NA,2036,6
"124",-18.4479506596839,2037,6
"125",NA,2038,6
"126",-15.2608203177812,2039,6
"127",2.5201219474118,2019,7
"128",NA,2020,7
"129",-9.56463685130518,2021,7
"130",NA,2022,7
"131",-7.13424828320101,2023,7
"132",NA,2024,7
"133",-8.7007342886429,2025,7
"134",NA,2026,7
"135",-13.1234435960819,2027,7
"136",NA,2028,7
"137",-13.9112568666958,2029,7
"138",NA,2030,7
"139",-14.3407328110135,2031,7
"140",NA,2032,7
"141",-14.6769475908551,2033,7
"142",NA,2034,7
"143",-15.0791833317065,2035,7
"144",NA,2036,7
"145",-15.3508798001987,2037,7
"146",NA,2038,7
"147",-16.3715409518675,2039,7
"148",2.22848995183357,2019,8
"149",NA,2020,8
"150",-10.3480086254362,2021,8
"151",NA,2022,8
"152",-3.17893463705421,2023,8
"153",NA,2024,8
"154",7.4623649607868,2025,8
"155",NA,2026,8
"156",15.3183315930493,2027,8
"157",NA,2028,8
"158",25.6280705388615,2029,8
"159",NA,2030,8
"160",30.6884130754212,2031,8
"161",NA,2032,8
"162",26.600276598463,2033,8
"163",NA,2034,8
"164",11.3792119432328,2035,8
"165",NA,2036,8
"166",-6.69713040434089,2037,8
"167",NA,2038,8
"168",-19.6151347853353,2039,8
"169",-21.9153539833803,2019,9
"170",NA,2020,9
"171",-18.4615939610979,2021,9
"172",NA,2022,9
"173",-13.5039360188122,2023,9
"174",NA,2024,9
"175",-5.0587886157222,2025,9
"176",NA,2026,9
"177",-3.58206796608057,2027,9
"178",NA,2028,9
"179",4.99515568695011,2029,9
"180",NA,2030,9
"181",10.6435611837099,2031,9
"182",NA,2032,9
"183",19.1000948081972,2033,9
"184",NA,2034,9
"185",23.0839251494242,2035,9
"186",NA,2036,9
"187",24.7955932404384,2037,9
"188",NA,2038,9
"189",12.3766635386401,2039,9
"190",-22.9941636352855,2019,10
"191",NA,2020,10
"192",-18.6362352189096,2021,10
"193",NA,2022,10
"194",-13.1521899169028,2023,10
"195",NA,2024,10
"196",-4.62251038716808,2025,10
"197",NA,2026,10
"198",-3.18289450044633,2027,10
"199",NA,2028,10
"200",5.87479260161111,2029,10
"201",NA,2030,10
"202",9.79497905133878,2031,10
"203",NA,2032,10
"204",19.3170009663947,2033,10
"205",NA,2034,10
"206",23.0330912606864,2035,10
"207",NA,2036,10
"208",25.3320690066312,2037,10
"209",NA,2038,10
"210",12.1764559165162,2039,10
"211",-22.3466498165814,2019,11
"212",NA,2020,11
"213",-11.5720900975065,2021,11
"214",NA,2022,11
"215",-7.75961564239705,2023,11
"216",NA,2024,11
"217",-3.56275478800209,2025,11
"218",NA,2026,11
"219",-5.79558377061409,2027,11
"220",NA,2028,11
"221",0.679404752962915,2029,11
"222",NA,2030,11
"223",4.52379567607038,2031,11
"224",NA,2032,11
"225",14.502441943219,2033,11
"226",NA,2034,11
"227",20.3028300314172,2035,11
"228",NA,2036,11
"229",22.6377868625822,2037,11
"230",NA,2038,11
"231",14.9705200318072,2039,11
"232",-22.7239228239012,2019,12
"233",NA,2020,12
"234",-9.82792249028338,2021,12
"235",NA,2022,12
"236",-9.73284053354914,2023,12
"237",NA,2024,12
"238",-8.71932622784377,2025,12
"239",NA,2026,12
"240",-9.67878478443139,2027,12
"241",NA,2028,12
"242",-3.11605066904311,2029,12
"243",NA,2030,12
"244",2.31135934930066,2031,12
"245",NA,2032,12
"246",12.005735850095,2033,12
"247",NA,2034,12
"248",20.4015881205705,2035,12
"249",NA,2036,12
"250",29.1214685852689,2037,12
"251",NA,2038,12
"252",24.8352053215814,2039,12
"253",5.18493910591736,2019,13
"254",NA,2020,13
"255",-8.67044071928573,2021,13
"256",NA,2022,13
"257",5.0340299379694,2023,13
"258",NA,2024,13
"259",19.9208909259793,2025,13
"260",NA,2026,13
"261",18.3044283589973,2027,13
"262",NA,2028,13
"263",5.70887575156031,2029,13
"264",NA,2030,13
"265",-6.21833315333912,2031,13
"266",NA,2032,13
"267",-7.59101238620266,2033,13
"268",NA,2034,13
"269",-11.0709046252864,2035,13
"270",NA,2036,13
"271",-11.7840038959975,2037,13
"272",NA,2038,13
"273",-15.8679304206027,2039,13
"274",5.55786953847417,2019,14
"275",NA,2020,14
"276",-6.82408187684632,2021,14
"277",NA,2022,14
"278",4.51669552350474,2023,14
"279",NA,2024,14
"280",15.136661627227,2025,14
"281",NA,2026,14
"282",9.87611628810354,2027,14
"283",NA,2028,14
"284",2.61003507387516,2029,14
