"","REEF","Year","Scenario"
"1",-8.89773952473142,2019,1
"2",-12.6313359874881,2021,1
"3",-16.4545588878947,2023,1
"4",-18.6801347411692,2025,1
"5",-13.6669545953352,2027,1
"6",-3.49234180978938,2029,1
"7",-1.06150720715573,2031,1
"8",-2.37489753118994,2033,1
"9",-1.44630473216412,2035,1
"10",-0.0903323400335583,2037,1
"11",2.0729716607185,2039,1
"12",-0.0137327062571917,2019,2
"13",-1.35639855475252,2021,2
"14",-1.65850134593823,2023,2
"15",-2.09783786805495,2025,2
"16",-1.22375290654305,2027,2
"17",-1.40853281649614,2029,2
"18",-1.5616702033957,2031,2
"19",-1.16440548809108,2033,2
"20",0.476192029870828,2035,2
"21",0.929413854104162,2037,2
"22",0.990820412640877,2039,2
"23",-2.26533068400194,2019,3
"24",-4.39932088053395,2021,3
"25",-3.87727203775077,2023,3
"26",-3.02933580811127,2025,3
"27",-3.51242311127453,2027,3
"28",-3.31479842018741,2029,3
"29",-4.65970024499835,2031,3
"30",-2.5381424151277,2033,3
"31",-2.3633259681993,2035,3
"32",-0.914002886262615,2037,3
"33",0.347589735604259,2039,3
"34",-1.10528698309201,2019,4
"35",-1.21113493480992,2021,4
"36",-3.66215539050433,2023,4
"37",-3.17431702480639,2025,4
"38",-3.45947506488959,2027,4
"39",-3.82277959524548,2029,4
"40",-3.63319633847099,2031,4
"41",-3.53610698600808,2033,4
"42",-3.75534911453732,2035,4
"43",-3.29766451824148,2037,4
"44",-3.09462810402944,2039,4
"45",-12.9316631497266,2019,5
"46",-19.0062420551644,2021,5
"47",-26.3226127293847,2023,5
"48",-34.3135913053283,2025,5
"49",-36.2529880060884,2027,5
"50",-28.6336915912849,2029,5
"51",-5.02749812696284,2031,5
"52",5.86518806409279,2033,5
"53",5.43505375561082,2035,5
"54",1.02456181823768,2037,5
"55",0.371201265078868,2039,5
"56",-12.5976396251589,2019,6
"57",-19.9853559925591,2021,6
"58",-26.0726559064768,2023,6
"59",-30.4599718035794,2025,6
"60",-28.1088237083008,2027,6
"61",-14.5793789490819,2029,6
"62",0.57824225499336,2031,6
"63",6.39204493856373,2033,6
"64",4.82677265207183,2035,6
"65",2.80998568983287,2037,6
"66",3.35700555538644,2039,6
"67",-13.0939306720721,2019,7
"68",-19.7689707090526,2021,7
"69",-19.5104953899386,2023,7
"70",-13.8125619250012,2025,7
"71",-9.36960509580824,2027,7
"72",-5.43228223202955,2029,7
"73",-3.06842888391725,2031,7
"74",-0.974740655483186,2033,7
"75",0.406369845860866,2035,7
"76",3.4917914907958,2037,7
"77",3.80450373318577,2039,7
"78",-12.981414984408,2019,8
"79",-20.4212606144905,2021,8
"80",-25.5591714905199,2023,8
"81",-30.9458290694416,2025,8
"82",-34.8955828916334,2027,8
"83",-37.4590276362932,2029,8
"84",-36.1712683718026,2031,8
"85",-33.0443494454145,2033,8
"86",-19.7388675990974,2035,8
"87",-3.1896797336941,2037,8
"88",11.9909627135921,2039,8
"89",-10.3378115158862,2019,9
"90",-10.9918534019524,2021,9
"91",-10.9721418187719,2023,9
"92",-10.7743590069367,2025,9
"93",-11.3103687390176,2027,9
"94",-11.8358165472673,2029,9
"95",-12.4809935658641,2031,9
"96",-14.3018443965512,2033,9
"97",-13.1308244981102,2035,9
"98",-12.7855085934768,2037,9
