"","R","Year","Rest","Scenario"
"1",2819335.13595317,2038,12582490,1
"2",2553816.89986979,2039,16515020,1
"3",2607867.17719649,2040,20196780,1
"4",2854172.42416433,2038,10399860,2
"5",2776314.56148,2039,16299870,2
"6",2909757.99143022,2040,17022250,2
"7",2947258.79830165,2038,10386280,3
"8",3095299.21761297,2039,16324875,3
"9",2762810.65979367,2040,16988885,3
"10",2885423.85957544,2038,10320840,4
"11",2849586.16344072,2039,16379850,4
"12",2984685.93587999,2040,16865570,4
"13",5413726.14187129,2038,15920610,5
"14",5297181.86726799,2039,16663725,5
"15",5255531.92081672,2040,30218990,5
"16",5476962.91655062,2038,15926810,6
"17",5356452.8774168,2039,16691600,6
"18",5413454.13664784,2040,30329230,6
"19",5249988.94237637,2038,15884240,7
"20",4720421.31273667,2039,16712635,7
"21",5582461.38887733,2040,30134815,7
"22",5215035.90740091,2038,15776220,8
"23",5182280.14596942,2039,16653790,8
"24",5242474.47183085,2040,30165905,8
"25",1349443.22659688,2038,10315745,9
"26",997868.49336925,2039,16340990,9
"27",983104.181513595,2040,16925815,9
"28",1347598.94028564,2038,10322960,10
"29",1006736.64900174,2039,16341410,10
"30",1008470.74963313,2040,16813485,10
"31",1380193.36425572,2038,10339730,11
"32",1021328.49183463,2039,16301090,11
"33",978214.127333529,2040,16860430,11
"34",1449872.67401224,2038,10328100,12
"35",1012722.88701771,2039,16308650,12
"36",1043672.87294631,2040,16850075,12
"37",2803300.57241309,2038,15849620,13
"38",2424201.40379899,2039,16758245,13
"39",2488397.08084213,2040,30276890,13
"40",2911475.9672027,2038,15815620,14
"41",2382346.42520041,2039,16721990,14
"42",2420622.749756,2040,30206915,14
"43",2986881.658945,2038,15749490,15
"44",2356578.51499814,2039,16733860,15
"45",2457394.04553354,2040,30171990,15
"46",2802357.82670617,2038,15711395,16
"47",2272363.57969475,2039,16754115,16
"48",2414320.34218422,2040,30225325,16
"49",3278310.60000667,2038,15935550,17
"50",2605785.875733,2039,16807240,17
"51",2562880.63140632,2040,30445620,17
"52",3189130.07819132,2038,15652380,18
"53",2544751.67931934,2039,16709330,18
"54",2664451.98242736,2040,30185130,18
"55",3096754.44881341,2038,15854700,19
"56",2487639.34771017,2039,16769670,19
"57",2700830.96819382,2040,30638950,19
"58",3059580.25393396,2038,15911880,20
"59",2571490.21564399,2039,16843715,20
"60",2576149.37265328,2040,30561565,20
"61",3012993.13461521,2038,15877155,21
"62",2511867.19913775,2039,16817525,21
"63",2589574.42836816,2040,30434160,21
"64",3043872.54250201,2038,15784050,22
"65",2442810.89745353,2039,16644400,22
"66",2655381.65712678,2040,30305670,22
"67",3116173.13411092,2038,15929620,23
"68",2547057.87447705,2039,16814745,23
"69",2590324.94821868,2040,30422335,23
"70",3104181.23090108,2038,15859885,24
"71",2495537.63520901,2039,16915680,24
"72",2536547.51261017,2040,30475390,24
"73",126278.088472042,2038,16717.425,25
"74",115926.625746248,2039,2601.186,25
"75",108737.012704884,2040,19926.77,25
"76",110090.929424785,2038,16727.665,26
"77",117153.944425719,2039,2605.3115,26
"78",110042.253753666,2040,19923.73,26
"79",119970.455530115,2038,16729.865,27
"80",117983.311431985,2039,2604.8575,27
"81",115365.542741433,2040,19919.605,27
"82",111669.267660519,2038,16719.665,28
"83",115401.577824312,2039,2594.2355,28
"84",122543.54258057,2040,19929.135,28
"85",110034.824243067,2038,16780.925,29
"86",120245.486305661,2039,2599.465,29
"87",108161.518636855,2040,19980.25,29
"88",113830.955206555,2038,16793.14,30
"89",111655.609378553,2039,2608.802,30
"90",115762.81348643,2040,20018.07,30
"91",125315.74412082,2038,16759.21,31
"92",119106.172247752,2039,2606.8,31
"93",110080.383263829,2040,20023.43,31
"94",133499.721401778,2038,16774.685,32
"95",123406.784723933,2039,2594.7845,32
"96",129996.875354072,2040,19963.01,32
