"","SSB","Year","SSBest","Scenario"
"1",28995.5078620624,1986,26890.11,1
"2",26848.0732951664,1987,27653.07,1
"3",27015.404545824,1988,27973.18,1
"4",27818.8383369839,1989,33951.26,1
"5",34683.7252593672,1990,36143.41,1
"6",37776.8147367998,1991,30322.04,1
"7",31985.7975162147,1992,18922.56,1
"8",20051.1582319469,1993,12286.66,1
"9",13446.6200730615,1994,10502.62,1
"10",12128.0903153302,1995,10971.49,1
"11",13299.6570717352,1996,11152.85,1
"12",13933.8762998793,1997,9110.072,1
"13",12004.4730352466,1998,7923.733,1
"14",11215.4156534429,1999,8033.525,1
"15",12161.2915278102,2000,10065.92,1
"16",15378.7724736329,2001,12056.03,1
"17",18796.5276909165,2002,13084.69,1
"18",20397.4112885021,2003,12913,1
"19",19359.143487359,2004,11808.39,1
"20",17266.7104575042,2005,10852.1,1
"21",15633.0102003692,2006,9504.087,1
"22",14203.8095137002,2007,11155.91,1
"23",15922.6423718694,2008,12288.66,1
"24",16724.7286614856,2009,12065.31,1
"25",15839.3430374271,2010,10487.05,1
"26",13221.7822021067,2011,7928.243,1
"27",9573.53143760997,2012,4448.942,1
"28",5394.31278556304,2013,2604.603,1
"29",3291.96803540158,2014,1604.504,1
"30",2375.18946319705,2015,1088.671,1
"31",2232.82109871111,2016,1744.956,1
"32",3547.93506976233,2017,2083.113,1
"33",4363.4025233656,2018,1804.225,1
"34",4278.68004512332,2019,1921.993,1
"35",4722.15919112898,2020,2580.555,1
"36",5809.75057770829,2021,3315.778,1
"37",6826.74011083544,2022,4049.886,1
"38",7772.04305565806,2023,4634.185,1
"39",8367.69891383099,2024,4962.853,1
"40",8723.36195914177,2025,5338.184,1
"41",9458.66352976864,2026,5589.069,1
"42",9883.43410368515,2027,5187.873,1
"43",9604.63134455522,2028,5298.524,1
"44",9748.56630484729,2029,4895.394,1
"45",9485.008702841,2030,5181.886,1
"46",9789.98499733017,2031,5087.529,1
"47",9447.68322670566,2032,5309.348,1
"48",9228.04126262516,2033,5094.373,1
"49",8569.52722417034,2034,5098.223,1
"50",8137.66079410597,2035,5174.679,1
"51",7575.96131583493,2036,5629.93,1
"52",7528.65448877356,2037,6502.335,1
"53",9297.73133601723,1986,16128.75,2
"54",16459.8041992508,1987,20184.59,2
"55",20737.3607985488,1988,22879.44,2
"56",23380.7336182467,1989,24891.59,2
"57",25310.4264277912,1990,31697.55,2
"58",31981.6351461198,1991,35018.47,2
"59",35178.5747609733,1992,29712.78,2
"60",29812.8472863822,1993,18502.79,2
"61",18583.1566891769,1994,12172.96,2
"62",12247.1556811555,1995,10559.86,2
"63",10606.516661307,1996,11105.49,2
"64",11158.1809348757,1997,11364.34,2
"65",11427.4498386113,1998,9417.15,2
"66",9426.16618501365,1999,8283.702,2
"67",8295.84752248464,2000,8469.659,2
"68",8487.56986389039,2001,10667.25,2
"69",10685.6181768213,2002,12787.12,2
"70",12810.605374546,2003,13838.23,2
"71",13890.4673045887,2004,13652,2
