"","SSB","Year","SSBest","Scenario"
"1",13451.3460507575,2038,22955.68,1
"2",14191.8148674661,2039,24277.11,1
"3",13974.3796353331,2040,25471.55,1
"4",30626.0531922659,2038,16128.75,2
"5",30801.2219066549,2039,20184.59,2
"6",31212.2322918523,2040,22879.44,2
"7",31244.4050167236,2038,16022.485,3
"8",31270.3707369904,2039,20065.99,3
"9",31755.1944786756,2040,22874.11,3
"10",42434.1568087761,2038,16216.935,4
"11",41307.4796368271,2039,20161.155,4
"12",39276.8337346233,2040,22862.355,4
"13",15849.9789443724,2038,24219.91,5
"14",16306.726513035,2039,26036.42,5
"15",16326.9290980788,2040,27276.37,5
"16",15337.146637778,2038,24317.13,6
"17",15586.345832055,2039,26135.63,6
"18",15321.1474326352,2040,27286.01,6
"19",15604.5925942033,2038,24325.81,7
"20",15664.619665341,2039,26091.775,7
"21",15798.7159778214,2040,27261.18,7
"22",15699.7201867278,2038,24202.795,8
"23",15185.2305688664,2039,26065.03,8
"24",15135.13103838,2040,27227.335,8
"25",14499.6880079407,2038,22333.79,9
"26",14130.8342324914,2039,23509.04,9
"27",13704.9282595862,2040,24592.015,9
"28",14029.8976182529,2038,22361.985,10
"29",13886.7501619309,2039,23484.825,10
"30",13509.4425014357,2040,24618.035,10
"31",14593.3249198855,2038,22344.67,11
"32",14387.6681807887,2039,23515.39,11
"33",13880.3849499455,2040,24573.66,11
"34",19815.9760998584,2038,22329.445,12
"35",18464.5293790467,2039,23470.04,12
"36",17250.7594351675,2040,24612.65,12
"37",7109.42875165925,2038,26716.255,13
"38",7446.36528628553,2039,27482.095,13
"39",7529.21948298387,2040,27938.835,13
"40",7043.48173333568,2038,26728.075,14
"41",7307.53942937772,2039,27464.235,14
"42",7330.39431288779,2040,27961.165,14
"43",7379.01653160633,2038,26948.6,15
"44",7574.0770463262,2039,27597.33,15
"45",7677.02434705787,2040,28026.68,15
"46",6915.65780947727,2038,26681.075,16
"47",7013.90346551557,2039,27458.675,16
"48",7109.97820576508,2040,27970.845,16
"49",8915.39616455165,2038,26347.44,17
"50",9191.38327617847,2039,27073.42,17
"51",9004.07062296807,2040,27513.7,17
"52",8954.79653007181,2038,26840.28,18
"53",9184.43509957939,2039,27521.74,18
"54",9139.55308161583,2040,27974.92,18
"55",8544.88381948356,2038,26622.19,19
"56",8729.26378617088,2039,27115.35,19
"57",8675.63154327297,2040,27529.45,19
"58",9127.39100275861,2038,26307.955,20
"59",9074.75159095618,2039,27006.755,20
"60",9093.71999878526,2040,27497.64,20
"61",8259.68091622525,2038,26302.77,21
"62",8470.24969610213,2039,26990.54,21
"63",8523.22725963199,2040,27452.805,21
"64",8159.0838579929,2038,26808.05,22
"65",8283.39676605742,2039,27506.61,22
"66",8293.19034819157,2040,27893.86,22
"67",8385.12027898847,2038,26352.995,23
"68",8605.25896501463,2039,27109.09,23
"69",8667.28341860081,2040,27567.155,23
"70",8068.14833343558,2038,26311.2,24
"71",8335.47567945661,2039,27038.72,24
"72",8502.1857374043,2040,27496.17,24
"73",819.423098179293,2038,73.54336,25
"74",799.355641804197,2039,74.113725,25
"75",783.804620058827,2040,62.069075,25
"76",764.530361063318,2038,73.4767,26
"77",772.254883837113,2039,74.12122,26
"78",771.855225621207,2040,62.017495,26
"79",749.793672815473,2038,73.439575,27
"80",756.25803052542,2039,74.067655,27
"81",756.620592262585,2040,62.00422,27
"82",1000.98682920336,2038,73.48821,28
"83",941.396235739958,2039,74.096085,28
"84",897.424660270453,2040,61.96985,28
"85",824.219180788308,2038,73.662235,29
"86",845.756704729769,2039,74.37196,29
"87",847.744538847794,2040,62.239225,29
"88",864.193429607844,2038,73.83502,30
"89",877.081562558204,2039,74.43559,30
"90",872.823983304796,2040,62.29885,30
"91",907.219181537996,2038,73.714995,31
"92",912.585875879187,2039,74.40846,31
"93",909.344674786801,2040,62.226,31
"94",1077.98670265618,2038,73.69591,32
"95",1033.33801952134,2039,74.320935,32
"96",1007.22610511533,2040,62.245555,32
