"","Year","Scenario","OM","Rho","Frequency","HCR","SSBest","Fest","Catchest","Rest","X","F.FMSY","SSB.SSBMSY","SSBCI_Lower","SSBCI_Upper","FCI_Lower","FCI_Upper","CatchCI_Lower","CatchCI_Upper","RCI_Lower","RCI_Upper","SSB","F_full","Catchsim","R"
"1",2038,1,1,"No rho-adjustment","Two year updates",1,22955.68,0.9003085,9342.426,12582490,NA,NA,NA,30243.4091770018,31658.3912448088,0.133515535177744,0.141820136559276,3254.05076872103,3460.90691461559,2512752.88816602,3085908.59040554,NA,NA,NA,NA
"2",2039,1,1,"No rho-adjustment","Two year updates",1,24277.11,0.8367257,9807.849,16515020,NA,NA,NA,30361.4088413317,31776.705438502,0.134633453178462,0.143065072180682,3331.81456512133,3561.21737744315,2529224.54322605,3010039.95294892,NA,NA,NA,NA
"3",2040,1,1,"No rho-adjustment","Two year updates",1,25471.55,0.7398639,9382.781,20196780,NA,NA,NA,30356.0101725326,32284.658135493,0.133361880947123,0.1407410373186,NA,NA,2449434.85443209,2929445.84282783,NA,NA,NA,NA
"4",2038,2,1,"No rho-adjustment","Two year updates",2,16128.75,1.039465,6781.605,10399860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30626.0531922659,0.136101352291559,3366.01789532763,2854172.42416433
"5",2038,2,1,"No rho-adjustment","Two year updates",2,16128.75,1.039465,6781.605,10399860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30626.0531922659,0.136101352291559,3366.01789532763,2854172.42416433
"6",2038,2,1,"No rho-adjustment","Two year updates",2,16128.75,1.039465,6781.605,10399860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2038,2,1,"No rho-adjustment","Two year updates",2,16128.75,1.039465,6781.605,10399860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2038,2,1,"No rho-adjustment","Two year updates",2,16128.75,1.039465,6781.605,10399860,NA,NA,NA,29802.87347,31343.9324,0.132957709,0.14065163,3289.743852,3467.839063,2606414.975,3088498.177,30626.0531922659,0.136101352291559,3366.01789532763,2854172.42416433
"9",2038,2,1,"No rho-adjustment","Two year updates",2,16128.75,1.039465,6781.605,10399860,NA,NA,NA,29802.87347,31343.9324,0.132957709,0.14065163,3289.743852,3467.839063,2606414.975,3088498.177,30626.0531922659,0.136101352291559,3366.01789532763,2854172.42416433
"10",2038,2,1,"No rho-adjustment","Two year updates",2,16128.75,1.039465,6781.605,10399860,NA,NA,NA,29802.87347,31343.9324,0.132957709,0.14065163,3289.743852,3467.839063,2606414.975,3088498.177,NA,NA,NA,NA
"11",2038,2,1,"No rho-adjustment","Two year updates",2,16128.75,1.039465,6781.605,10399860,NA,NA,NA,29802.87347,31343.9324,0.132957709,0.14065163,3289.743852,3467.839063,2606414.975,3088498.177,NA,NA,NA,NA
"12",2039,2,1,"No rho-adjustment","Two year updates",2,20184.59,0.8620278,8009.452,16299870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30801.2219066549,0.136101401434371,3404.4003088657,2776314.56148
"13",2039,2,1,"No rho-adjustment","Two year updates",2,20184.59,0.8620278,8009.452,16299870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30801.2219066549,0.136101401434371,3404.4003088657,2776314.56148
"14",2039,2,1,"No rho-adjustment","Two year updates",2,20184.59,0.8620278,8009.452,16299870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2039,2,1,"No rho-adjustment","Two year updates",2,20184.59,0.8620278,8009.452,16299870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2039,2,1,"No rho-adjustment","Two year updates",2,20184.59,0.8620278,8009.452,16299870,NA,NA,NA,30115.30337,31473.77335,0.132957146,0.140651514,3331.647948,3481.933192,2595340.032,2990336.432,30801.2219066549,0.136101401434371,3404.4003088657,2776314.56148
"17",2039,2,1,"No rho-adjustment","Two year updates",2,20184.59,0.8620278,8009.452,16299870,NA,NA,NA,30115.30337,31473.77335,0.132957146,0.140651514,3331.647948,3481.933192,2595340.032,2990336.432,30801.2219066549,0.136101401434371,3404.4003088657,2776314.56148
"18",2039,2,1,"No rho-adjustment","Two year updates",2,20184.59,0.8620278,8009.452,16299870,NA,NA,NA,30115.30337,31473.77335,0.132957146,0.140651514,3331.647948,3481.933192,2595340.032,2990336.432,NA,NA,NA,NA
"19",2039,2,1,"No rho-adjustment","Two year updates",2,20184.59,0.8620278,8009.452,16299870,NA,NA,NA,30115.30337,31473.77335,0.132957146,0.140651514,3331.647948,3481.933192,2595340.032,2990336.432,NA,NA,NA,NA
"20",2040,2,1,"No rho-adjustment","Two year updates",2,22879.44,0.8760291,9628.905,17022250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31212.2322918523,0.135697802489375,NA,2909757.99143022
"21",2040,2,1,"No rho-adjustment","Two year updates",2,22879.44,0.8760291,9628.905,17022250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31212.2322918523,0.135697802489375,NA,2909757.99143022
"22",2040,2,1,"No rho-adjustment","Two year updates",2,22879.44,0.8760291,9628.905,17022250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2040,2,1,"No rho-adjustment","Two year updates",2,22879.44,0.8760291,9628.905,17022250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2040,2,1,"No rho-adjustment","Two year updates",2,22879.44,0.8760291,9628.905,17022250,NA,NA,NA,30394.82699,31931.68678,0.132616697,0.139724069,NA,NA,2692819.607,3099177.5,31212.2322918523,0.135697802489375,NA,2909757.99143022
"25",2040,2,1,"No rho-adjustment","Two year updates",2,22879.44,0.8760291,9628.905,17022250,NA,NA,NA,30394.82699,31931.68678,0.132616697,0.139724069,NA,NA,2692819.607,3099177.5,31212.2322918523,0.135697802489375,NA,2909757.99143022
"26",2040,2,1,"No rho-adjustment","Two year updates",2,22879.44,0.8760291,9628.905,17022250,NA,NA,NA,30394.82699,31931.68678,0.132616697,0.139724069,NA,NA,2692819.607,3099177.5,NA,NA,NA,NA
"27",2040,2,1,"No rho-adjustment","Two year updates",2,22879.44,0.8760291,9628.905,17022250,NA,NA,NA,30394.82699,31931.68678,0.132616697,0.139724069,NA,NA,2692819.607,3099177.5,NA,NA,NA,NA
"28",2038,3,1,"No rho-adjustment","Two year updates",3,16022.485,1.051559,6732.3705,10386280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31244.4050167236,0.138351334266037,3358.52021972167,2947258.79830165
"29",2038,3,1,"No rho-adjustment","Two year updates",3,16022.485,1.051559,6732.3705,10386280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31244.4050167236,0.138351334266037,3358.52021972167,2947258.79830165
"30",2038,3,1,"No rho-adjustment","Two year updates",3,16022.485,1.051559,6732.3705,10386280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2038,3,1,"No rho-adjustment","Two year updates",3,16022.485,1.051559,6732.3705,10386280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2038,3,1,"No rho-adjustment","Two year updates",3,16022.485,1.051559,6732.3705,10386280,NA,NA,NA,30624.70144,32090.90244,0.133661512,0.141364661,3276.464893,3441.87814,2773243.311,3223340.786,31244.4050167236,0.138351334266037,3358.52021972167,2947258.79830165
"33",2038,3,1,"No rho-adjustment","Two year updates",3,16022.485,1.051559,6732.3705,10386280,NA,NA,NA,30624.70144,32090.90244,0.133661512,0.141364661,3276.464893,3441.87814,2773243.311,3223340.786,31244.4050167236,0.138351334266037,3358.52021972167,2947258.79830165
"34",2038,3,1,"No rho-adjustment","Two year updates",3,16022.485,1.051559,6732.3705,10386280,NA,NA,NA,30624.70144,32090.90244,0.133661512,0.141364661,3276.464893,3441.87814,2773243.311,3223340.786,NA,NA,NA,NA
"35",2038,3,1,"No rho-adjustment","Two year updates",3,16022.485,1.051559,6732.3705,10386280,NA,NA,NA,30624.70144,32090.90244,0.133661512,0.141364661,3276.464893,3441.87814,2773243.311,3223340.786,NA,NA,NA,NA
"36",2039,3,1,"No rho-adjustment","Two year updates",3,20065.99,0.8701455,7963.5845,16324875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31270.3707369904,0.138351630522116,3389.25389983736,3095299.21761297
"37",2039,3,1,"No rho-adjustment","Two year updates",3,20065.99,0.8701455,7963.5845,16324875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31270.3707369904,0.138351630522116,3389.25389983736,3095299.21761297
