"","X.2","X.1","X","SSBestratioreal","Fratioreal","Year","Scenario","Misspecification","Compare_Mis","Compare_Rho","Compare_Freq","OM","Rho","Frequency","HCR"
"1",1,1,1,0.141273793683098,2.31056755434783,2019,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"2",2,2,2,0.158808671879333,0.135840653804348,2020,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"3",3,3,3,0.238699922185253,0.134403740409836,2021,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"4",4,4,4,0.321319145969211,0.238768124016393,2022,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"5",5,5,5,0.479266441007794,0.238270501978022,2023,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"6",6,6,6,0.623571266449418,0.545740938049451,2024,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"7",7,7,7,0.714625465050522,0.542278936483516,2025,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"8",8,8,8,0.81898502926511,0.794018922527473,2026,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"9",9,9,9,0.934841693908234,0.790661825409836,2027,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"10",10,10,10,1.03122226705567,0.820411281147541,2028,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"11",11,11,11,1.1856582290212,0.783200254891304,2029,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"12",12,12,12,1.20510372760885,0.825277429076087,2030,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"13",13,13,13,1.36763049143038,0.809679894230769,2031,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"14",14,14,14,1.43308586886336,0.831565129945055,2032,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"15",15,15,15,1.27955918898282,0.828326854918033,2033,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"16",16,16,16,1.28776634182349,0.785312535245902,2034,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"17",17,17,17,1.29470469543819,0.796114501630435,2035,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"18",18,18,18,1.34471113070009,0.77490774048913,2036,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"19",19,19,19,1.33266410645544,0.741771966393442,2037,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"20",20,20,20,1.30792307909795,0.75474422704918,2038,1,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",1
"21",21,21,21,0.140791132472714,2.26153755733696,2019,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"22",22,22,22,0.157990092201056,0.227126939184783,2020,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"23",23,23,23,0.235523942618222,0.201308598586957,2021,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"24",24,24,24,0.317541968033433,0.199177470978261,2022,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"25",25,25,25,0.481203780841987,0.29264863451087,2023,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"26",26,26,26,0.647292417467206,0.291828775842391,2024,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"27",27,27,27,0.7728503052784,0.521865628288043,2025,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"28",28,28,28,0.889583335488252,0.517876659293478,2026,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"29",29,29,29,1.04583062809064,0.73029804701087,2027,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"30",30,30,30,1.15386155459371,0.72979040298913,2028,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"31",31,31,31,1.31467042694495,0.7509607875,2029,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"32",32,32,32,1.38518483644633,0.751198592934783,2030,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"33",33,33,33,1.49514593451183,0.752432412228261,2031,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"34",34,34,34,1.52950584681304,0.75424282826087,2032,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"35",35,35,35,1.47638886423649,0.75440950923913,2033,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"36",36,36,36,1.48945596039274,0.746572788586956,2034,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"37",37,37,37,1.38665837297908,0.746065958967391,2035,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"38",38,38,38,1.40740930306122,0.75083184048913,2036,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
