"","X","SSBestratioreal","Fratioreal","Year","Scenario","OM","Rho","Frequency","HCR","Misspecification","Compare_Mis","Compare_Rho","Compare_Freq"
"1",1,0.102703256764288,2.47003754429348,2019,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"2",2,0.102703256764288,2.47003754429348,2020,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"3",3,0.176020006193535,0.15167472236413,2021,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"4",4,0.176020006193535,0.15167472236413,2022,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"5",5,0.376213924941311,0.261644832391304,2023,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"6",6,0.376213924941311,0.261644832391304,2024,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"7",7,0.655042785843415,0.539180117119565,2025,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"8",8,0.655042785843415,0.539180117119565,2026,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"9",9,0.903034365782633,0.744786261684782,2027,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"10",10,0.903034365782633,0.744786261684782,2028,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"11",11,1.15823052814043,0.750308179891304,2029,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"12",12,1.15823052814043,0.750308179891304,2030,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
"13",13,1.39763109944809,0.745607179076087,2031,1,1,"No rho-adjustment","Two year updates",1,NA,"Misspecified and correctly specified stock assessment",NA,NA
