"","Catchsim","Year","Catchest","Scenario"
"1",11109.7357715952,1986,10733.37,1
"2",11405.6538362259,1987,11428.31,1
"3",9131.13191047742,1988,9125.148,1
"4",14995.3463433516,1989,14960.05,1
"5",18485.9748687239,1990,18390.71,1
"6",17280.4296291187,1991,17048.74,1
"7",11570.4394091126,1992,11503.94,1
"8",7614.48215219963,1993,7588.471,1
"9",5755.22287303131,1994,5718.205,1
"10",4938.13715879833,1995,4912.603,1
"11",5362.60240599671,1996,5338.451,1
"12",4106.21558646104,1997,4096.408,1
"13",3210.60391554169,1998,3202.421,1
"14",2332.84668039943,1999,2325.29,1
"15",3369.37939855562,2000,3372.37,1
"16",4168.64203913425,2001,4174.847,1
"17",4002.82826887116,2002,4020.512,1
"18",4424.91509132185,2003,4434.591,1
"19",4443.68621719508,2004,4443.634,1
"20",5062.12804881167,2005,5068.025,1
"21",3067.88701758929,2006,3078.508,1
"22",3798.59500161108,2007,3808.639,1
"23",5151.75446858936,2008,5170.223,1
"24",5565.33333296747,2009,5564.282,1
"25",5339.020292214,2010,5336.735,1
"26",5109.97072074389,2011,5100.765,1
"27",3032.4077880065,2012,3019.965,1
"28",1952.69883512836,2013,1935.552,1
"29",1242.39065976932,2014,1227.679,1
"30",260.327717992317,2015,261.3038,1
"31",578.949825917599,2016,581.0518,1
"32",857.488542766298,2017,864.5991,1
"33",515.712106409548,2018,520.0589,1
"34",215.508927336019,2019,216.8433,1
"35",296.130701031604,2020,294.4178,1
"36",528.330834447969,2021,530.0314,1
"37",706.534073404402,2022,709.4195,1
"38",1089.07907409109,2023,1108.484,1
"39",1321.87352368166,2024,1319.352,1
"40",1594.50317881282,2025,1600.507,1
"41",1967.86625989415,2026,1981.015,1
"42",1515.36007129101,2027,1518.334,1
"43",1843.63542845842,2028,1860.364,1
"44",1180.89929109797,2029,1180.79,1
"45",1479.11242448876,2030,1481.311,1
"46",1137.94996957822,2031,1157.837,1
"47",1356.88878401908,2032,1372.282,1
"48",1096.28188073318,2033,1096.028,1
"49",1259.34449672391,2034,1264.542,1
"50",990.719415151512,2035,992.7135,1
"51",1086.11955158652,2036,1092.065,1
