"","SSB","Year","SSBest","Scenario"
"1",21895.3717925838,1986,22955.68,1
"2",23896.380080107,1987,24277.11,1
"3",23961.6138107272,1988,25471.55,1
"4",24992.446005534,1989,27549.88,1
"5",26163.6353014542,1990,33961.84,1
"6",32447.2642930411,1991,32684.81,1
"7",35144.975446682,1992,26823.68,1
"8",29804.5055978417,1993,16432.73,1
"9",18581.1223609419,1994,11253.34,1
"10",12246.7072743189,1995,10760.93,1
"11",10606.8394096108,1996,11119.5,1
"12",11158.2425540304,1997,10294.49,1
"13",11427.4674038658,1998,8675.827,1
"14",9426.17152349796,1999,8167.364,1
"15",8295.84936650059,2000,9283.713,1
"16",8487.57056849588,2001,11392.99,1
"17",10685.6185184123,2002,12934.25,1
"18",12810.6055242548,2003,13384.94,1
"19",13890.4673675343,2004,12741.11,1
"20",13703.0695376649,2005,11662.64,1
"21",12533.3631238357,2006,10519.83,1
"22",11440.9025646292,2007,10512.14,1
"23",9960.38801399675,2008,11940.12,1
"24",11613.6339931348,2009,12348.47,1
"25",12673.032481477,2010,11376.75,1
"26",12325.9728243025,2011,9602.132,1
"27",10642.9303236964,2012,7145.3,1
"28",8019.45803933917,2013,4066.034,1
"29",4516.21619272153,2014,2388.467,1
"30",2676.99893825368,2015,1557.171,1
"31",1759.86013695056,2016,1581.9,1
"32",1439.88101254476,2017,2361.009,1
"33",2555.22478328137,2018,2918.44,1
"34",3552.2021825003,2019,3115.937,1
"35",4020.14598770474,2020,3749.922,1
"36",5657.19710252659,2021,4979.755,1
"37",7130.71713232017,2022,6918.71,1
"38",8763.02835665883,2023,8757.745,1
"39",10690.8384625718,2024,9238.0615,1
"40",11808.2311936669,2025,10064.555,1
"41",13012.1100468857,2026,10739.585,1
"42",14086.6669449475,2027,11038.425,1
"43",14592.0464706247,2028,11238.445,1
"44",15234.6673091043,2029,11737.88,1
"45",15719.1389082221,2030,11494.93,1
"46",16312.689694719,2031,11668.955,1
"47",15707.7418257693,2032,11598.86,1
"48",15582.2547910968,2033,11468,1
"49",14839.3726549008,2034,11562.025,1
"50",14372.6383856026,2035,11487.865,1
"51",13629.9990919449,2036,12175.82,1
"52",13733.0449122913,2037,13835.19,1
