"","Year","Scenario","OM","Rho","Frequency","HCR","SSB","SSBest","F_full","Fest","R","Rest","Catchsim","Catchest","REESSB","REEF","rhoSSB"
"1",1986,1,1,2,1,1,28995.50786,26890.11,0.8563994,0.7990341,16631560,15739580,11109.73577,10733.37,NA,NA,NA
"2",1987,1,1,2,1,1,26848.0733,27653.07,0.8681519,0.8094833,17662870,16687200,11405.65384,11428.31,NA,NA,NA
"3",1988,1,1,2,1,1,27015.40455,27973.18,0.6547805,0.61294,32593270,30200670,9131.13191,9125.148,NA,NA,NA
"4",1989,1,1,2,1,1,27818.83834,33951.26,0.9745814,0.9352006,5051173,4517135,14995.34634,14960.05,NA,NA,NA
"5",1990,1,1,2,1,1,34683.72526,36143.41,1.198393,1.173658,5417801,4650154,18485.97487,18390.71,NA,NA,NA
"6",1991,1,1,2,1,1,37776.81474,30322.04,1.18376,1.186438,10072200,8220506,17280.42963,17048.74,NA,NA,NA
"7",1992,1,1,2,1,1,31985.79752,18922.56,1.279991,1.309809,10661790,8097823,11570.43941,11503.94,NA,NA,NA
"8",1993,1,1,2,1,1,20051.15823,12286.66,1.543551,1.590214,14684380,10224350,7614.482152,7588.471,NA,NA,NA
"9",1994,1,1,2,1,1,13446.62007,10502.62,1.332879,1.43021,5257516,3327910,5755.222873,5718.205,NA,NA,NA
"10",1995,1,1,2,1,1,12128.09032,10971.49,0.916881,1.040489,6217710,3598369,4938.137159,4912.603,NA,NA,NA
"11",1996,1,1,2,1,1,13299.65707,11152.85,0.8162326,0.9815618,5584570,2927514,5362.602406,5338.451,NA,NA,NA
"12",1997,1,1,2,1,1,13933.8763,9110.072,0.6711441,0.8608584,9777971,4781329,4106.215586,4096.408,NA,NA,NA
"13",1998,1,1,2,1,1,12004.47304,7923.733,0.5597291,0.7645087,9105385,4212952,3210.603916,3202.421,NA,NA,NA
"14",1999,1,1,2,1,1,11215.41565,8033.525,0.3747781,0.5300615,19041730,8349980,2332.84668,2325.29,NA,NA,NA
"15",2000,1,1,2,1,1,12161.29153,10065.92,0.4428962,0.6325721,11455660,4878545,3369.379399,3372.37,NA,NA,NA
"16",2001,1,1,2,1,1,15378.77247,12056.03,0.4594742,0.6737255,2976459,1256720,4168.642039,4174.847,NA,NA,NA
"17",2002,1,1,2,1,1,18796.52769,13084.69,0.3626093,0.5328752,13175370,5522344,4002.828269,4020.512,NA,NA,NA
"18",2003,1,1,2,1,1,20397.41129,12913,0.3926542,0.5593009,4777869,2006801,4424.915091,4434.591,NA,NA,NA
