"","Year","Scenario","OM","Rho","Frequency","HCR","SSB","SSBest","F_full","Fest","Catchsim","Catchest","R","Rest","REESSB","REEF","rhoSSB","rhoF"
"1",1986,1,1,"No rho-adjustment","Two year updates",1,21895.3717925838,22955.68,0.96721,0.9003085,9759.32208492558,9342.426,10390600,12582490,NA,NA,NA,NA
"2",1987,1,1,"No rho-adjustment","Two year updates",1,23896.380080107,24277.11,0.836977,0.8367257,9798.10963670389,9807.849,16225800,16515020,NA,NA,NA,NA
"3",1988,1,1,"No rho-adjustment","Two year updates",1,23961.6138107272,25471.55,0.852962,0.7398639,9487.34624629892,9382.781,16847800,20196780,NA,NA,NA,NA
"4",1989,1,1,"No rho-adjustment","Two year updates",1,24992.446005534,27549.88,0.6555,0.788002,8770.95389353152,9533.863,30233800,26421520,NA,NA,NA,NA
"5",1990,1,1,"No rho-adjustment","Two year updates",1,26163.6353014542,33961.84,0.956372,1.071481,14259.9563987235,15822.6,4526620,4618145,NA,NA,NA,NA
"6",1991,1,1,"No rho-adjustment","Two year updates",1,32447.2642930411,32684.81,1.19324,1.197897,17892.2514664439,17461.98,4628870,6037140,NA,NA,NA,NA
"7",1992,1,1,"No rho-adjustment","Two year updates",1,35144.975446682,26823.68,1.2111,1.264338,16843.5045091623,14687.38,8321060,8220762,NA,NA,NA,NA
"8",1993,1,1,"No rho-adjustment","Two year updates",1,29804.5055978417,16432.73,1.31222,1.446948,11258.8013273507,9708.461,8306270,9311228,NA,NA,NA,NA
"9",1994,1,1,"No rho-adjustment","Two year updates",1,18581.1223609419,11253.34,1.60134,1.53406,7568.32881891865,6565.665,10593000,9169026,NA,NA,NA,NA
"10",1995,1,1,"No rho-adjustment","Two year updates",1,12246.7072743189,10760.93,1.4559,1.259,5812.46592980664,5332.432,3499470,3552870,NA,NA,NA,NA
"11",1996,1,1,"No rho-adjustment","Two year updates",1,10606.8394096108,11119.5,1.05505,1.022841,5004.95249693247,5164.251,3785520,3347225,NA,NA,NA,NA
"12",1997,1,1,"No rho-adjustment","Two year updates",1,11158.2425540304,10294.49,0.990981,0.9282514,5452.38701018425,4777.869,3111340,3807874,NA,NA,NA,NA
"13",1998,1,1,"No rho-adjustment","Two year updates",1,11427.4674038658,8675.827,0.862996,0.8135042,4213.11611145766,3682.869,5080230,4649134,NA,NA,NA,NA
"14",1999,1,1,"No rho-adjustment","Two year updates",1,9426.17152349796,8167.364,0.762063,0.6395675,3321.0025799604,2889.371,4473680,5419222,NA,NA,NA,NA
