"","F_full","Year","Fest","Scenario"
"1",0.96721,1986,1.042386,1
"2",0.836977,1987,0.8649765,1
"3",0.852962,1988,0.8768688,1
"4",0.6555,1989,0.67583425,1
"5",0.956372,1990,0.97522545,1
"6",1.19324,1991,1.21199,1
"7",1.2111,1992,1.2273605,1
"8",1.31222,1993,1.329116,1
"9",1.60134,1994,1.6444305,1
"10",1.4559,1995,1.48949,1
"11",1.05505,1996,1.072094,1
"12",0.990981,1997,1.004357,1
"13",0.862996,1998,0.8706605,1
"14",0.762063,1999,0.7733708,1
"15",0.524024,2000,0.53003895,1
"16",0.624922,2001,0.63060485,1
"17",0.666422,2002,0.67020565,1
"18",0.531522,2003,0.53337325,1
"19",0.558618,2004,0.56132965,1
"20",0.647474,2005,0.6506965,1
"21",0.879411,2006,0.8905986,1
"22",0.582746,2007,0.5898751,1
"23",0.617485,2008,0.6239713,1
"24",0.82387,2009,0.83465085,1
"25",0.934049,2010,0.94656755,1
"26",1.04277,2011,1.0579675,1
"27",1.50474,2012,1.526499,1
"28",1.69086,2013,1.7271955,1
"29",2.17901,2014,2.2356265,1
"30",2.22469,2015,2.271145,1
"31",0.370279,2016,0.37415215,1
"32",0.459487,2017,0.4598548,1
"33",0.419339,2018,0.41728085,1
"34",0.0285989298286614,2019,0.028341415,1
"35",0.0279871428578652,2020,0.028257065,1
"36",0.0489583444050572,2021,0.048938275,1
"37",0.0482246273647976,2022,0.048384995,1
"38",0.103525697278581,2023,0.102183,1
"39",0.0997748609629354,2024,0.099027145,1
"40",0.144374120111535,2025,0.14310625,1
"41",0.139943576115486,2026,0.1383782,1
"42",0.142287552063921,2027,0.1412612,1
"43",0.140011731865198,2028,0.13763045,1
"44",0.142213958624904,2029,0.1413786,1
"45",0.140654964457906,2030,0.1398074,1
"46",0.141908414724097,2031,0.140545,1
"47",0.140553560071567,2032,0.1389081,1
"48",0.140599842047393,2033,0.13846915,1
"49",0.139779124815775,2034,0.13579975,1
"50",0.140506952911102,2035,0.1359097,1
"51",0.138487273026742,2036,0.1349696,1
"52",0.139480600078358,2037,0.135856,1
