"","Fratiot","Time","Scenario"
"1",1,"Short-term",1
"2",1,"Short-term",1
"3",1,"Short-term",1
"4",1,"Short-term",1
"5",1,"Short-term",1
"6",1,"Short-term",1
"7",1,"Short-term",1
"8",1,"Short-term",1
"9",1,"Short-term",1
"10",1,"Short-term",1
"11",1,"Short-term",1
"12",1,"Short-term",1
"13",1,"Short-term",1
"14",1,"Short-term",1
"15",1,"Short-term",1
"16",1,"Short-term",1
"17",1,"Short-term",1
"18",1,"Short-term",1
"19",1,"Short-term",1
"20",1,"Short-term",1
"21",1,"Short-term",1
"22",1,"Short-term",1
"23",1,"Short-term",1
"24",1,"Short-term",1
"25",1,"Short-term",1
"26",1,"Short-term",1
"27",1,"Short-term",1
"28",1,"Short-term",1
"29",1,"Short-term",1
"30",1,"Short-term",1
"31",1,"Short-term",1
"32",1,"Short-term",1
"33",1,"Short-term",1
"34",1,"Short-term",1
"35",1,"Short-term",1
"36",1,"Short-term",1
"37",1,"Short-term",1
"38",1,"Short-term",1
"39",1,"Short-term",1
"40",1,"Short-term",1
"41",1,"Short-term",1
"42",1,"Short-term",1
"43",1,"Short-term",1
"44",1,"Short-term",1
"45",1,"Short-term",1
"46",1,"Short-term",1
"47",1,"Short-term",1
"48",1,"Short-term",1
"49",1,"Short-term",1
"50",1,"Short-term",1
"51",1,"Short-term",1
"52",1,"Short-term",1
"53",1,"Short-term",1
"54",1,"Short-term",1
"55",1,"Short-term",1
"56",1,"Short-term",1
"57",1,"Short-term",1
"58",1,"Short-term",1
"59",1,"Short-term",1
"60",1,"Short-term",1
"61",1,"Short-term",1
"62",1,"Short-term",1
"63",1,"Short-term",1
"64",1,"Short-term",1
"65",1,"Short-term",1
"66",1,"Short-term",1
"67",1,"Short-term",1
"68",1,"Short-term",1
"69",1,"Short-term",1
"70",1,"Short-term",1
"71",1,"Short-term",1
"72",1,"Short-term",1
"73",1,"Short-term",1
"74",1,"Short-term",1
"75",1,"Short-term",1
"76",1,"Short-term",1
"77",1,"Short-term",1
"78",1,"Short-term",1
"79",1,"Short-term",1
"80",1,"Short-term",1
"81",1,"Short-term",1
"82",1,"Short-term",1
"83",1,"Short-term",1
"84",1,"Short-term",1
"85",1,"Short-term",1
"86",1,"Short-term",1
"87",1,"Short-term",1
"88",1,"Short-term",1
"89",1,"Short-term",1
"90",1,"Short-term",1
"91",1,"Short-term",1
"92",1,"Short-term",1
"93",1,"Short-term",1
"94",1,"Short-term",1
"95",1,"Short-term",1
"96",1,"Short-term",1
"97",1,"Short-term",1
"98",1,"Short-term",1
"99",1,"Short-term",1
"100",1,"Short-term",1
"101",1,"Short-term",1
"102",1,"Short-term",1
"103",1,"Short-term",1
"104",1,"Short-term",1
"105",1,"Short-term",1
"106",1,"Short-term",1
"107",1,"Short-term",1
"108",1,"Short-term",1
"109",1,"Short-term",1
"110",1,"Short-term",1
"111",1,"Short-term",1
"112",1,"Short-term",1
"113",1,"Short-term",1
"114",1,"Short-term",1
"115",1,"Short-term",1
"116",1,"Short-term",1
"117",1,"Short-term",1
"118",1,"Short-term",1
"119",1,"Short-term",1
"120",1,"Short-term",1
"121",1,"Short-term",1
"122",1,"Short-term",1
"123",1,"Short-term",1
"124",1,"Short-term",1
"125",1,"Short-term",1
"126",1,"Short-term",1
"127",1,"Short-term",1
"128",1,"Short-term",1
"129",1,"Short-term",1
"130",1,"Short-term",1
"131",1,"Short-term",1
"132",1,"Short-term",1
"133",1,"Short-term",1
"134",1,"Short-term",1
"135",1,"Short-term",1
"136",1,"Short-term",1
"137",1,"Short-term",1
"138",1,"Short-term",1
"139",1,"Short-term",1
"140",1,"Short-term",1
"141",1,"Short-term",1
"142",1,"Short-term",1
"143",1,"Short-term",1
"144",1,"Short-term",1
"145",1,"Short-term",1
"146",1,"Short-term",1
"147",1,"Short-term",1
"148",1,"Short-term",1
"149",1,"Short-term",1
"150",1,"Short-term",1
"151",1,"Short-term",1
"152",1,"Short-term",1
"153",1,"Short-term",1
"154",1,"Short-term",1
"155",1,"Short-term",1
"156",1,"Short-term",1
"157",1,"Short-term",1
"158",1,"Short-term",1
"159",1,"Short-term",1
"160",1,"Short-term",1
"161",1,"Short-term",1
"162",1,"Short-term",1
"163",1,"Short-term",1
"164",1,"Short-term",1
"165",1,"Short-term",1
"166",1,"Short-term",1
"167",1,"Short-term",1
"168",1,"Short-term",1
"169",1,"Short-term",1
"170",1,"Short-term",1
"171",1,"Short-term",1
"172",1,"Short-term",1
"173",1,"Short-term",1
"174",1,"Short-term",1
"175",1,"Short-term",1
"176",1,"Short-term",1
"177",1,"Short-term",1
"178",1,"Short-term",1
"179",1,"Short-term",1
"180",1,"Short-term",1
"181",1,"Short-term",1
"182",1,"Short-term",1
"183",1,"Short-term",1
"184",1,"Short-term",1
"185",1,"Short-term",1
"186",1,"Short-term",1
"187",1,"Short-term",1
"188",1,"Short-term",1
"189",1,"Short-term",1
"190",1,"Short-term",1
"191",1,"Short-term",1
"192",1,"Short-term",1
"193",1,"Short-term",1
"194",1,"Short-term",1
"195",1,"Short-term",1
"196",1,"Short-term",1
"197",1,"Short-term",1
"198",1,"Short-term",1
"199",1,"Short-term",1
"200",1,"Short-term",1
"201",1,"Short-term",1
"202",1,"Short-term",1
"203",1,"Short-term",1
"204",1,"Short-term",1
"205",1,"Short-term",1
"206",1,"Short-term",1
"207",1,"Short-term",1
"208",1,"Short-term",1
"209",1,"Short-term",1
"210",1,"Short-term",1
"211",1,"Short-term",1
"212",1,"Short-term",1
"213",1,"Short-term",1
"214",1,"Short-term",1
"215",1,"Short-term",1
"216",1,"Short-term",1
"217",1,"Short-term",1
"218",1,"Short-term",1
"219",1,"Short-term",1
"220",1,"Short-term",1
"221",1,"Short-term",1
"222",1,"Short-term",1
"223",1,"Short-term",1
"224",1,"Short-term",1
"225",1,"Short-term",1
"226",1,"Short-term",1
"227",1,"Short-term",1
"228",1,"Short-term",1
"229",1,"Short-term",1
"230",1,"Short-term",1
"231",1,"Short-term",1
"232",1,"Short-term",1
"233",1,"Short-term",1
"234",1,"Short-term",1
"235",1,"Short-term",1
"236",1,"Short-term",1
"237",1,"Short-term",1
"238",1,"Short-term",1
"239",1,"Short-term",1
"240",1,"Short-term",1
"241",1,"Short-term",1
"242",1,"Short-term",1
"243",1,"Short-term",1
"244",1,"Short-term",1
"245",1,"Short-term",1
"246",1,"Short-term",1
"247",1,"Short-term",1
"248",1,"Short-term",1
"249",1,"Short-term",1
"250",1,"Short-term",1
"251",1,"Short-term",1
"252",1,"Short-term",1
"253",1,"Short-term",1
"254",1,"Short-term",1
"255",1,"Short-term",1
"256",1,"Short-term",1
"257",1,"Short-term",1
"258",1,"Short-term",1
"259",1,"Short-term",1
"260",1,"Short-term",1
"261",1,"Short-term",1
"262",1,"Short-term",1
"263",1,"Short-term",1
"264",1,"Short-term",1
"265",1,"Short-term",1
"266",1,"Short-term",1
"267",1,"Short-term",1
"268",1,"Short-term",1
"269",1,"Short-term",1
"270",1,"Short-term",1
"271",1,"Short-term",1
"272",1,"Short-term",1
"273",1,"Short-term",1
"274",1,"Short-term",1
"275",1,"Short-term",1
"276",1,"Short-term",1
"277",1,"Short-term",1
"278",1,"Short-term",1
"279",1,"Short-term",1
"280",1,"Short-term",1
"281",1,"Short-term",1
"282",1,"Short-term",1
"283",1,"Short-term",1
"284",1,"Short-term",1
"285",1,"Short-term",1
"286",1,"Short-term",1
"287",1,"Short-term",1
"288",1,"Short-term",1
"289",1,"Short-term",1
"290",1,"Short-term",1
"291",1,"Short-term",1
"292",1,"Short-term",1
"293",1,"Short-term",1
"294",1,"Short-term",1
"295",1,"Short-term",1
"296",1,"Short-term",1
"297",1,"Short-term",1
"298",1,"Short-term",1
"299",1,"Short-term",1
"300",1,"Short-term",1
"301",1,"Short-term",1
"302",1,"Short-term",1
"303",1,"Short-term",1
"304",1,"Short-term",1
"305",1,"Short-term",1
"306",1,"Short-term",1
"307",1,"Short-term",1
"308",1,"Short-term",1
"309",1,"Short-term",1
"310",1,"Short-term",1
"311",1,"Short-term",1
"312",1,"Short-term",1
"313",1,"Short-term",1
"314",1,"Short-term",1
"315",1,"Short-term",1
"316",1,"Short-term",1
"317",1,"Short-term",1
"318",1,"Short-term",1
"319",1,"Short-term",1
"320",1,"Short-term",1
"321",1,"Short-term",1
"322",1,"Short-term",1
"323",1,"Short-term",1
