"","R","Year","Rest","Scenario"
"1",10390600,1986,10364660,1
"2",16225800,1987,16341825,1
"3",16847800,1988,16903155,1
"4",30233800,1989,30375740,1
"5",4526620,1990,4495609,1
"6",4628870,1991,4643146,1
"7",8321060,1992,8441285,1
"8",8306270,1993,8372461,1
"9",10593000,1994,10651100,1
"10",3499470,1995,3511914.5,1
"11",3785520,1996,3787193,1
"12",3111340,1997,3134558.5,1
"13",5080230,1998,5082807,1
"14",4473680,1999,4475616.5,1
"15",8768560,2000,8760291,1
"16",5105900,2001,5097383,1
"17",1316070,2002,1307005.5,1
"18",5760720,2003,5774100.5,1
"19",2064430,2004,2058600.5,1
"20",6694740,2005,6692448.5,1
"21",4096920,2006,4081515.5,1
"22",6912250,2007,6953488.5,1
"23",5430370,2008,5424524.5,1
"24",4118280,2009,4141145,1
"25",2736090,2010,2759867,1
"26",1711080,2011,1723927,1
"27",1645230,2012,1666407.5,1
"28",1681620,2013,1702721,1
"29",787682,2014,793334.7,1
"30",2701790,2015,2722370,1
"31",1184440,2016,1186885,1
"32",757999,2017,757120.5,1
"33",1845300,2018,1845964,1
"34",1477796.65527603,2019,1459667.5,1
"35",1841817.85615559,2020,1806179.5,1
"36",2426305.65604778,2021,2386213.5,1
"37",2810567.61447933,2022,2877999,1
"38",2882560.44401764,2023,2938946.5,1
"39",2807288.35613237,2024,2835431,1
"40",2773498.09623934,2025,2825105.5,1
"41",2770143.7219335,2026,2741771,1
"42",2782931.95288455,2027,2763961.5,1
"43",2785356.77297328,2028,2807709,1
"44",2970087.35455327,2029,2904310,1
"45",2730366.70214418,2030,2764837,1
"46",2933837.66439282,2031,2833515,1
"47",2952551.30271776,2032,3004975,1
"48",2967000.67339494,2033,2926966.5,1
"49",2828126.07915635,2034,2723466.5,1
"50",2857497.711858,2035,2853915,1
"51",2809816.01924978,2036,2754742,1
"52",2672202.22094083,2037,2608419,1
