"","REEF","Year","Scenario"
"1",748.433111492915,2019,1
"2",NA,2020,1
"3",-48.1722645054159,2021,1
"4",NA,2022,1
"5",-59.4980027430353,2023,1
"6",NA,2024,1
"7",-40.5348974761446,2025,1
"8",NA,2026,1
"9",-10.0787688480722,2027,1
"10",NA,2028,1
"11",0.382665189839119,2029,1
"12",NA,2030,1
"13",-3.1640994048022,2031,1
"14",NA,2032,1
"15",-6.74295439502079,2033,1
"16",NA,2034,1
"17",-4.40604802248593,2035,1
"18",NA,2036,1
"19",-2.18809006789015,2037,1
"20",NA,2038,1
"21",1.00537442881299,2039,1
"22",991.156956187473,2019,2
"23",NA,2020,2
"24",11.6640490198668,2021,2
"25",NA,2022,2
"26",-34.6143136286576,2023,2
"27",NA,2024,2
"28",-45.4401441701419,2025,2
"29",NA,2026,2
"30",-28.568814706937,2027,2
"31",NA,2028,2
"32",-4.7262609859019,2029,2
"33",NA,2030,2
"34",-2.90185584942478,2031,2
"35",NA,2032,2
"36",-1.36436767400651,2033,2
"37",NA,2034,2
"38",-0.0441670262021831,2035,2
"39",NA,2036,2
"40",0.116087131416417,2037,2
"41",NA,2038,2
"42",-0.642842093235553,2039,2
"43",242.13379577018,2019,3
"44",NA,2020,3
"45",-2.89446586199501,2021,3
"46",NA,2022,3
"47",-2.11254202051445,2023,3
"48",NA,2024,3
"49",-3.59467138636979,2025,3
"50",NA,2026,3
"51",-5.83462156393675,2027,3
"52",NA,2028,3
"53",-7.93952208759919,2029,3
"54",NA,2030,3
"55",-7.67810589274846,2031,3
"56",NA,2032,3
"57",-7.13720051625802,2033,3
"58",NA,2034,3
"59",-2.72397749073635,2035,3
"60",NA,2036,3
"61",-2.01158785094283,2037,3
"62",NA,2038,3
"63",-0.50226764391598,2039,3
"64",145.675137886083,2019,4
"65",NA,2020,4
"66",27.9746381061378,2021,4
"67",NA,2022,4
"68",135.89235914469,2023,4
"69",NA,2024,4
"70",21.4199989262662,2025,4
"71",NA,2026,4
"72",6.80426469402126,2027,4
"73",NA,2028,4
"74",-5.3389036194846,2029,4
"75",NA,2030,4
"76",-14.5579153961424,2031,4
"77",NA,2032,4
"78",-24.5562864459726,2033,4
"79",NA,2034,4
"80",-29.840064995735,2035,4
"81",NA,2036,4
"82",-28.3340936979159,2037,4
"83",NA,2038,4
"84",-21.6552729423066,2039,4
"85",367.984686830383,2019,5
"86",NA,2020,5
"87",-1.14821489245811,2021,5
"88",NA,2022,5
"89",-52.1106591217838,2023,5
"90",NA,2024,5
"91",-70.3058080171062,2025,5
"92",NA,2026,5
"93",-61.8676834695691,2027,5
"94",NA,2028,5
"95",-43.1487385037344,2029,5
"96",NA,2030,5
"97",-3.87373392577864,2031,5
"98",NA,2032,5
"99",45.8927623850986,2033,5
"100",NA,2034,5
"101",19.7690357513376,2035,5
"102",NA,2036,5
"103",-1.10974517690292,2037,5
"104",NA,2038,5
"105",-11.6752715408252,2039,5
"106",261.624904122295,2019,6
"107",NA,2020,6
"108",-23.426188198233,2021,6
"109",NA,2022,6
"110",-50.787051350962,2023,6
"111",NA,2024,6
"112",-59.7238086245732,2025,6
"113",NA,2026,6
"114",-52.5800983885878,2027,6
"115",NA,2028,6
"116",-26.3924167428217,2029,6
"117",NA,2030,6
"118",10.9585457891521,2031,6
"119",NA,2032,6
"120",25.611295780135,2033,6
"121",NA,2034,6
"122",9.01522087224611,2035,6
"123",NA,2036,6
"124",-1.93768570400449,2037,6
"125",NA,2038,6
"126",-5.63593135462656,2039,6
"127",71.3169341525998,2019,7
"128",NA,2020,7
"129",-31.3791432765946,2021,7
"130",NA,2022,7
"131",-31.9611806633875,2023,7
"132",NA,2024,7
"133",-17.3053887153076,2025,7
"134",NA,2026,7
"135",-5.64625289194202,2027,7
"136",NA,2028,7
"137",-6.76510538807107,2029,7
"138",NA,2030,7
"139",-2.8667049092212,2031,7
"140",NA,2032,7
"141",-1.78775380394817,2033,7
"142",NA,2034,7
"143",-2.12737822329254,2035,7
"144",NA,2036,7
"145",0.986868853994832,2037,7
"146",NA,2038,7
"147",1.77949934330428,2039,7
"148",125.312899003263,2019,8
"149",NA,2020,8
"150",10.4720787525305,2021,8
"151",NA,2022,8
"152",-12.6207701778199,2023,8
"153",NA,2024,8
"154",-38.4128732602207,2025,8
"155",NA,2026,8
"156",-38.7862987329243,2027,8
"157",NA,2028,8
"158",-47.7728249843708,2029,8
"159",NA,2030,8
"160",-51.6490695196817,2031,8
"161",NA,2032,8
"162",-52.6695449077894,2033,8
"163",NA,2034,8
"164",-42.3570504804784,2035,8
"165",NA,2036,8
"166",-13.0386432088715,2037,8
"167",NA,2038,8
"168",21.7091990317977,2039,8
"169",1118.30885433788,2019,9
"170",NA,2020,9
"171",-9.90487522820481,2021,9
"172",NA,2022,9
"173",-49.626236605004,2023,9
"174",NA,2024,9
"175",-55.2280524562364,2025,9
"176",NA,2026,9
"177",-35.0944371020078,2027,9
"178",NA,2028,9
"179",-17.5612403749337,2029,9
"180",NA,2030,9
"181",-16.8021861652538,2031,9
"182",NA,2032,9
"183",-17.1785884851299,2033,9
"184",NA,2034,9
"185",-18.458102776946,2035,9
"186",NA,2036,9
"187",-13.5023028472259,2037,9
"188",NA,2038,9
"189",-13.9757679215661,2039,9
"190",778.843736370688,2019,10
"191",NA,2020,10
"192",1.33431707773949,2021,10
"193",NA,2022,10
"194",-41.3773323120463,2023,10
"195",NA,2024,10
"196",-50.2988670651936,2025,10
"197",NA,2026,10
"198",-35.7490001161897,2027,10
"199",NA,2028,10
"200",-18.4651276419631,2029,10
"201",NA,2030,10
"202",-18.2071816553426,2031,10
"203",NA,2032,10
"204",-16.3819813667209,2033,10
"205",NA,2034,10
"206",-17.5344839535993,2035,10
"207",NA,2036,10
"208",-16.4071807963886,2037,10
"209",NA,2038,10
"210",-12.6825426738941,2039,10
"211",195.424496189857,2019,11
"212",NA,2020,11
"213",-11.4157151028979,2021,11
"214",NA,2022,11
"215",-17.0632889240696,2023,11
"216",NA,2024,11
"217",-12.9260413999635,2025,11
"218",NA,2026,11
"219",-10.5679039951535,2027,11
"220",NA,2028,11
"221",-14.1874547658902,2029,11
"222",NA,2030,11
"223",-16.506382999565,2031,11
"224",NA,2032,11
"225",-16.2460028451333,2033,11
"226",NA,2034,11
"227",-15.6918317344495,2035,11
"228",NA,2036,11
"229",-12.9935565899443,2037,11
"230",NA,2038,11
"231",-11.0275518808775,2039,11
"232",108.958742296548,2019,12
"233",NA,2020,12
"234",13.8985865946021,2021,12
"235",NA,2022,12
"236",99.2820779407326,2023,12
"237",NA,2024,12
"238",4.67956448066934,2025,12
"239",NA,2026,12
"240",-4.00305899312733,2027,12
"241",NA,2028,12
"242",-13.1892538093356,2029,12
"243",NA,2030,12
"244",-23.5170207809528,2031,12
"245",NA,2032,12
"246",-32.1667609259454,2033,12
"247",NA,2034,12
"248",-40.6680755508349,2035,12
"249",NA,2036,12
"250",-35.3132613049066,2037,12
"251",NA,2038,12
"252",-25.6029093980161,2039,12
"253",322.654852401113,2019,13
"254",NA,2020,13
"255",-33.5786510795667,2021,13
"256",NA,2022,13
"257",-56.9975761737492,2023,13
"258",NA,2024,13
"259",-66.4143662461411,2025,13
"260",NA,2026,13
"261",-55.5750454510536,2027,13
"262",NA,2028,13
"263",-32.4785687644401,2029,13
"264",NA,2030,13
"265",13.4433804552025,2031,13
"266",NA,2032,13
"267",29.8687425626413,2033,13
"268",NA,2034,13
"269",13.5258667652473,2035,13
"270",NA,2036,13
"271",-2.3562948550098,2037,13
"272",NA,2038,13
"273",-7.24214320950402,2039,13
"274",210.891653042568,2019,14
"275",NA,2020,14
"276",-27.2747255798089,2021,14
"277",NA,2022,14
"278",-53.1883552020735,2023,14
"279",NA,2024,14
"280",-59.6716108290705,2025,14
"281",NA,2026,14
"282",-52.5309977509262,2027,14
"283",NA,2028,14
"284",-25.8177903144791,2029,14
"285",NA,2030,14
"286",10.6092967955919,2031,14
"287",NA,2032,14
"288",22.1066760665459,2033,14
"289",NA,2034,14
"290",5.77945892966076,2035,14
"291",NA,2036,14
"292",0.507546047447326,2037,14
"293",NA,2038,14
"294",0.429808100855456,2039,14
"295",66.7155334670269,2019,15
"296",NA,2020,15
"297",-34.6503461674139,2021,15
"298",NA,2022,15
"299",-36.7379059533578,2023,15
"300",NA,2024,15
"301",-17.7468368342624,2025,15
"302",NA,2026,15
"303",-6.50462815110692,2027,15
"304",NA,2028,15
"305",-1.67407214335126,2029,15
"306",NA,2030,15
"307",-6.26164854568508,2031,15
"308",NA,2032,15
"309",-11.0596926393111,2033,15
"310",NA,2034,15
"311",-9.26311734828881,2035,15
"312",NA,2036,15
"313",3.7157791881055,2037,15
"314",NA,2038,15
"315",16.011537256957,2039,15
"316",116.600175943744,2019,16
"317",NA,2020,16
"318",6.82522671876674,2021,16
"319",NA,2022,16
"320",-21.9860637395283,2023,16
"321",NA,2024,16
"322",-41.5991134434869,2025,16
"323",NA,2026,16
"324",-40.9711008442273,2027,16
"325",NA,2028,16
"326",-48.2505379972324,2029,16
"327",NA,2030,16
"328",-52.2135780241567,2031,16
"329",NA,2032,16
"330",-50.5920148497195,2033,16
"331",NA,2034,16
"332",-24.0017664938552,2035,16
"333",NA,2036,16
"334",14.6844435759662,2037,16
"335",NA,2038,16
"336",58.8335815098497,2039,16
"337",310.711714533483,2019,17
"338",NA,2020,17
"339",-34.2817489641838,2021,17
"340",NA,2022,17
"341",-45.800929612455,2023,17
"342",NA,2024,17
"343",-58.7410008162669,2025,17
"344",NA,2026,17
