"","REESSB","Year","Scenario"
"1",8.2241123703032,2019,21
"2",12.7334406827623,2020,21
"3",17.215169246135,2021,21
"4",23.8041703269404,2022,21
"5",27.1782446778919,2023,21
"6",25.1072349475541,2024,21
"7",19.9036698942167,2025,21
"8",9.49904194800213,2026,21
"9",3.26208064301475,2027,21
"10",-0.589520551446929,2028,21
"11",-4.03471988302777,2029,21
"12",-5.37448981116732,2030,21
"13",-6.47144309475705,2031,21
"14",-6.90575542336587,2032,21
"15",-7.43915008629665,2033,21
"16",-8.69250786993413,2034,21
"17",-10.7365158202355,2035,21
"18",-9.7798256262519,2036,21
"19",-11.0854004470005,2037,21
"20",-12.2234877306557,2038,21
"21",-13.2385968431161,2039,21
