,REESSB,Year,Scenario
64,-1.956418098,2019,25
65,NA,2020,25
66,25.74170899,2021,25
67,NA,2022,25
68,11.90798249,2023,25
69,NA,2024,25
70,3.409652777,2025,25
71,NA,2026,25
72,1.665733813,2027,25
73,NA,2028,25
74,1.554797809,2029,25
75,NA,2030,25
76,2.001188333,2031,25
77,NA,2032,25
78,3.630014603,2033,25
79,NA,2034,25
80,3.227556819,2035,25
81,NA,2036,25
82,3.977418757,2037,25
83,NA,2038,25
84,4.140728304,2039,25
85,-2.029088392,2019,26
86,NA,2020,26
87,25.99645304,2021,26
88,NA,2022,26
89,10.33036643,2023,26
90,NA,2024,26
91,3.973729435,2025,26
92,NA,2026,26
93,1.871466876,2027,26
94,NA,2028,26
95,4.639437137,2029,26
96,NA,2030,26
97,2.008954132,2031,26
98,NA,2032,26
99,4.24359057,2033,26
100,NA,2034,26
101,3.716732452,2035,26
102,NA,2036,26
103,2.353515961,2037,26
104,NA,2038,26
105,1.474014707,2039,26
106,-2.176711815,2019,27
107,NA,2020,27
108,25.34008945,2021,27
109,NA,2022,27
110,10.04567115,2023,27
111,NA,2024,27
112,3.449931388,2025,27
113,NA,2026,27
114,1.995108245,2027,27
115,NA,2028,27
116,2.672016035,2029,27
117,NA,2030,27
118,4.663423841,2031,27
119,NA,2032,27
120,5.538787171,2033,27
121,NA,2034,27
122,4.7771455,2035,27
123,NA,2036,27
124,4.458356455,2037,27
125,NA,2038,27
126,2.440155343,2039,27
127,-2.016691322,2019,28
128,NA,2020,28
129,-3.00184286,2021,28
130,NA,2022,28
131,-5.020696423,2023,28
132,NA,2024,28
133,-0.957382582,2025,28
134,NA,2026,28
135,0.282602313,2027,28
136,NA,2028,28
137,-0.070616697,2029,28
138,NA,2030,28
139,1.942938244,2031,28
140,NA,2032,28
141,4.130191961,2033,28
142,NA,2034,28
143,5.665828378,2035,28
144,NA,2036,28
145,6.488564707,2037,28
146,NA,2038,28
147,6.918751799,2039,28
148,-2.150194979,2019,29
149,NA,2020,29
150,26.13736498,2021,29
151,NA,2022,29
152,9.048476635,2023,29
153,NA,2024,29
154,-2.33969889,2025,29
155,NA,2026,29
156,-6.173045822,2027,29
157,NA,2028,29
158,-5.800842641,2029,29
159,NA,2030,29
160,-7.015243112,2031,29
161,NA,2032,29
162,-9.173416073,2033,29
163,NA,2034,29
164,-9.841062968,2035,29
165,NA,2036,29
166,-9.067680646,2037,29
167,NA,2038,29
168,-10.98415274,2039,29
169,-2.84991077,2019,30
170,NA,2020,30
171,23.98242322,2021,30
172,NA,2022,30
173,4.908168147,2023,30
174,NA,2024,30
175,-3.796188981,2025,30
176,NA,2026,30
177,-5.108753148,2027,30
178,NA,2028,30
179,-6.268135143,2029,30
180,NA,2030,30
181,-8.082650816,2031,30
182,NA,2032,30
183,-8.518996926,2033,30
184,NA,2034,30
185,-11.56507288,2035,30
186,NA,2036,30
187,-10.67402053,2037,30
188,NA,2038,30
189,-11.25726198,2039,30
190,-2.472555793,2019,31
191,NA,2020,31
192,24.77598171,2021,31
193,NA,2022,31
194,5.340861202,2023,31
195,NA,2024,31
196,-1.948866833,2025,31
197,NA,2026,31
198,-5.39843132,2027,31
199,NA,2028,31
200,-7.438318114,2029,31
201,NA,2030,31
202,-9.397661502,2031,31
203,NA,2032,31
204,-7.674160943,2033,31
205,NA,2034,31
206,-10.83407312,2035,31
207,NA,2036,31
208,-11.2322547,2037,31
209,NA,2038,31
210,-10.48026412,2039,31
211,-2.337741618,2019,32
212,NA,2020,32
213,-2.917279668,2021,32
214,NA,2022,32
215,-7.656953077,2023,32
216,NA,2024,32
217,-5.756470723,2025,32
218,NA,2026,32
219,-6.090699296,2027,32
220,NA,2028,32
221,-8.528279738,2029,32
222,NA,2030,32
223,-9.960491814,2031,32
224,NA,2032,32
225,-12.52720926,2033,32
226,NA,2034,32
227,-13.84754326,2035,32
228,NA,2036,32
229,-11.91423479,2037,32
230,NA,2038,32
231,-12.21764726,2039,32
