"","REEF","Year","Scenario","REESSB","OM","Rho","Frequency","HCR"
"1",748.433111492915,2019,1,-13.0250238789797,1,"No rho-adjustment","Two year updates",1
"2",NA,2020,1,NA,1,"No rho-adjustment","Two year updates",1
"3",-48.1722645054159,2021,1,-18.6053754294989,1,"No rho-adjustment","Two year updates",1
"4",NA,2022,1,NA,1,"No rho-adjustment","Two year updates",1
"5",-59.4980027430353,2023,1,-9.65334104498931,1,"No rho-adjustment","Two year updates",1
"6",NA,2024,1,NA,1,"No rho-adjustment","Two year updates",1
"7",-40.5348974761446,2025,1,1.46955164033517,1,"No rho-adjustment","Two year updates",1
"8",NA,2026,1,NA,1,"No rho-adjustment","Two year updates",1
"9",-10.0787688480722,2027,1,-2.00613845499064,1,"No rho-adjustment","Two year updates",1
"10",NA,2028,1,NA,1,"No rho-adjustment","Two year updates",1
"11",0.382665189839119,2029,1,-7.24657253732396,1,"No rho-adjustment","Two year updates",1
"12",NA,2030,1,NA,1,"No rho-adjustment","Two year updates",1
"13",-3.1640994048022,2031,1,-8.65857616581096,1,"No rho-adjustment","Two year updates",1
"14",NA,2032,1,NA,1,"No rho-adjustment","Two year updates",1
"15",-6.74295439502079,2033,1,-3.88225096080111,1,"No rho-adjustment","Two year updates",1
"16",NA,2034,1,NA,1,"No rho-adjustment","Two year updates",1
"17",-4.40604802248593,2035,1,-2.2461823647467,1,"No rho-adjustment","Two year updates",1
"18",NA,2036,1,NA,1,"No rho-adjustment","Two year updates",1
"19",-2.18809006789015,2037,1,-6.24454219370059,1,"No rho-adjustment","Two year updates",1
"20",NA,2038,1,NA,1,"No rho-adjustment","Two year updates",1
"21",1.00537442881299,2039,1,-10.1541373154918,1,"No rho-adjustment","Two year updates",1
"22",991.156956187473,2019,2,-26.9382240463229,1,"No rho-adjustment","Two year updates",2
"23",NA,2020,2,NA,1,"No rho-adjustment","Two year updates",2
"24",11.6640490198668,2021,2,-26.6947407755545,1,"No rho-adjustment","Two year updates",2
"25",NA,2022,2,NA,1,"No rho-adjustment","Two year updates",2
"26",-34.6143136286576,2023,2,-24.562655767289,1,"No rho-adjustment","Two year updates",2
"27",NA,2024,2,NA,1,"No rho-adjustment","Two year updates",2
"28",-45.4401441701419,2025,2,-15.1367738388346,1,"No rho-adjustment","Two year updates",2
"29",NA,2026,2,NA,1,"No rho-adjustment","Two year updates",2
"30",-28.568814706937,2027,2,-11.8695317015023,1,"No rho-adjustment","Two year updates",2
"31",NA,2028,2,NA,1,"No rho-adjustment","Two year updates",2
"32",-4.7262609859019,2029,2,-4.70260492171977,1,"No rho-adjustment","Two year updates",2
"33",NA,2030,2,NA,1,"No rho-adjustment","Two year updates",2
"34",-2.90185584942478,2031,2,-3.20662962154437,1,"No rho-adjustment","Two year updates",2
"35",NA,2032,2,NA,1,"No rho-adjustment","Two year updates",2
"36",-1.36436767400651,2033,2,-1.46051714479803,1,"No rho-adjustment","Two year updates",2
"37",NA,2034,2,NA,1,"No rho-adjustment","Two year updates",2
"38",-0.0441670262021831,2035,2,-0.838266345093767,1,"No rho-adjustment","Two year updates",2
"39",NA,2036,2,NA,1,"No rho-adjustment","Two year updates",2
"40",0.116087131416417,2037,2,-1.56821358868371,1,"No rho-adjustment","Two year updates",2
"41",NA,2038,2,NA,1,"No rho-adjustment","Two year updates",2
"42",-0.642842093235553,2039,2,-0.79900756053526,1,"No rho-adjustment","Two year updates",2
"43",242.13379577018,2019,3,-25.4209821431026,1,"No rho-adjustment","Two year updates",3
"44",NA,2020,3,NA,1,"No rho-adjustment","Two year updates",3
"45",-2.89446586199501,2021,3,-19.8471356042111,1,"No rho-adjustment","Two year updates",3
"46",NA,2022,3,NA,1,"No rho-adjustment","Two year updates",3
"47",-2.11254202051445,2023,3,-19.3507524274336,1,"No rho-adjustment","Two year updates",3
"48",NA,2024,3,NA,1,"No rho-adjustment","Two year updates",3
"49",-3.59467138636979,2025,3,-14.1698214624685,1,"No rho-adjustment","Two year updates",3
"50",NA,2026,3,NA,1,"No rho-adjustment","Two year updates",3
"51",-5.83462156393675,2027,3,-11.5441905422212,1,"No rho-adjustment","Two year updates",3
"52",NA,2028,3,NA,1,"No rho-adjustment","Two year updates",3
"53",-7.93952208759919,2029,3,-6.98940501117535,1,"No rho-adjustment","Two year updates",3
"54",NA,2030,3,NA,1,"No rho-adjustment","Two year updates",3
"55",-7.67810589274846,2031,3,-3.55510237483239,1,"No rho-adjustment","Two year updates",3
"56",NA,2032,3,NA,1,"No rho-adjustment","Two year updates",3
"57",-7.13720051625802,2033,3,0.66727974704378,1,"No rho-adjustment","Two year updates",3
"58",NA,2034,3,NA,1,"No rho-adjustment","Two year updates",3
"59",-2.72397749073635,2035,3,0.811134194027209,1,"No rho-adjustment","Two year updates",3
"60",NA,2036,3,NA,1,"No rho-adjustment","Two year updates",3
