"","SSB","Year","SSBest","Scenario"
"1",9526.12062646684,1986,16365.725,1
"2",16627.9862433571,1987,20289.02,1
"3",20799.6274969771,1988,22977.52,1
"4",23411.6302759427,1989,24983.805,1
"5",25326.3706544718,1990,31679.19,1
"6",31995.2420572651,1991,34923.47,1
"7",35182.8558432076,1992,29623.505,1
"8",29813.9101489842,1993,18429.26,1
"9",18583.4158946592,1994,12151.135,1
"10",12247.2128152542,1995,10557.165,1
"11",10606.5260928632,1996,11115.24,1
"12",11158.1827355498,1997,11393.825,1
"13",11427.4503519143,1998,9396.8215,1
"14",9426.16634101824,1999,8275.2915,1
"15",8295.84757637165,2000,8454.488,1
"16",8487.56988448082,2001,10658.175,1
"17",10685.6181868035,2002,12776.28,1
"18",12810.6053789209,2003,13866.54,1
"19",13890.4673064282,2004,13690.2,1
"20",13703.0695082621,2005,12517.395,1
"21",12533.363110066,2006,11409.875,1
"22",11440.9025587289,2007,9908.916,1
"23",9960.38801199186,2008,11575.32,1
"24",11613.6339922183,2009,12628.47,1
"25",12673.0324810723,2010,12288.89,1
"26",12325.9728241571,2011,10582.63,1
"27",10642.9303237089,2012,7981.831,1
"28",8019.45803934276,2013,4490.289,1
"29",4516.21619272218,2014,2654.1775,1
"30",2676.99893825378,2015,1751.772,1
"31",1759.86013695052,2016,1444.3385,1
"32",1439.88101254476,2017,2570.5435,1
"33",2555.22478328137,2018,3576.534,1
"34",3552.2021825003,2019,4013.9975,1
"35",3977.09026381524,2020,5558.9325,1
"36",5496.61090749164,2021,7471.4315,1
"37",7381.10975379442,2022,9846.387,1
"38",9707.3717941758,2023,13395.46,1
"39",13163.3279926408,2024,15908.505,1
"40",15725.4154637015,2025,18482.895,1
"41",18364.0549032521,2026,20827.575,1
"42",20609.3845137353,2027,22637.715,1
"43",22766.304573511,2028,24705.71,1
"44",24583.8535847933,2029,26322.195,1
"45",25930.1378298023,2030,27472.795,1
"46",27564.4533152699,2031,28754.2,1
"47",28573.3775281764,2032,29544.67,1
"48",29091.2661690901,2033,29846.815,1
"49",29881.252792448,2034,30102.245,1
"50",30298.7576485761,2035,30646.325,1
"51",30499.8615326652,2036,30653.515,1
"52",30989.7977610808,2037,30988.89,1
