"","Year","SSBCI_Lower","SSBCI_Upper","Scenario"
"1",2019,3552.2021825003,3552.2021825003,1
"2",2020,3976.7035650733,3977.42061964621,1
"3",2021,5486.59402771686,5506.67099638987,1
"4",2022,7335.87094356899,7446.41705254708,1
"5",2023,9597.64588005915,9869.19724426191,1
"6",2024,12953.8689667535,13434.933931438,1
"7",2025,15401.5126325891,16033.6183271485,1
"8",2026,17904.5954842415,18778.5806333684,1
"9",2027,20176.3636140211,21172.2296844682,1
"10",2028,22111.7785082386,23273.6523958199,1
"11",2029,24011.8376646778,25184.0749893264,1
"12",2030,25401.8801300443,26885.4302058648,1
"13",2031,26692.5670514525,28278.8288935335,1
"14",2032,27933.7320770722,29379.7007432011,1
"15",2033,28495.9819717212,30069.5116173264,1
"16",2034,29159.3893616992,30638.5613202313,1
"17",2035,29494.4406929377,31025.5365951582,1
"18",2036,29921.10726544,31163.7325027604,1
"19",2037,30333.3395960497,31746.3120353229,1
"20",2038,30243.4091770018,31658.3912448088,1
"21",2039,30361.4088413317,31776.705438502,1
"22",2040,30356.0101725326,32284.658135493,1
