"","R","Year","Rest","Scenario"
"1",16631560,1986,15739580,1
"2",17662870,1987,16687200,1
"3",32593270,1988,30200670,1
"4",5051173,1989,4517135,1
"5",5417801,1990,4650154,1
"6",10072200,1991,8220506,1
"7",10661790,1992,8097823,1
"8",14684380,1993,10224350,1
"9",5257516,1994,3327910,1
"10",6217710,1995,3598369,1
"11",5584570,1996,2927514,1
"12",9777971,1997,4781329,1
"13",9105385,1998,4212952,1
"14",19041730,1999,8349980,1
"15",11455660,2000,4878545,1
"16",2976459,2001,1256720,1
"17",13175370,2002,5522344,1
"18",4777869,2003,2006801,1
"19",15418270,2004,6590592,1
"20",9185212,2005,4078043,1
"21",15170260,2006,6944724,1
"22",11425310,2007,5459910,1
"23",8282485,2008,4112725,1
"24",5282501,2009,2743280,1
"25",3214456,2010,1703602,1
"26",3123141,2011,1612920,1
"27",3451363,2012,1488373,1
"28",1711859,2013,608148.6,1
"29",5726967,2014,1783730,1
"30",2311249,2015,636732.3,1
"31",1355431,2016,344373.2,1
"32",3061964,2017,778991.2,1
"33",4260899,2018,1141497,1
"34",2355081.16834486,2019,673145.8,1
"35",3894280.56656421,2020,1206441,1
"36",3514836.35446012,2021,1153769,1
"37",5070596.24474969,2022,1683373,1
"38",5333389.67375126,2023,1800475,1
"39",5812091.23563875,2024,1955272,1
"40",4500225.84435067,2025,1487562,1
"41",4623995.01508908,2026,1518782,1
"42",5560120.22272093,2027,1767810,1
"43",3319405.09029205,2028,1089827,1
"44",3542056.21023434,2029,1148534,1
"45",3199901.9875338,2030,1105076,1
"46",2998484.36040858,2031,1084466,1
"47",2675401.16115835,2032,1026726,1
"48",2577152.78276527,2033,1079162,1
"49",3506795.26010609,2034,1620163,1
"50",3716383.52013333,2035,1913597,1
"51",3725967.00428977,2036,2009817,1
"52",2849490.28066855,2037,1645218,1
"53",10390600,1986,10399860,2
"54",16225800,1987,16299870,2
"55",16847800,1988,17022250,2
"56",30233800,1989,30422300,2
"57",4526620,1990,4524998,2
"58",4628870,1991,4678992,2
"59",8321060,1992,8361550,2
"60",8306270,1993,8350087,2
"61",10593000,1994,10634500,2
"62",3499470,1995,3486868,2
"63",3785520,1996,3819360,2
"64",3111340,1997,3138732,2
"65",5080230,1998,5081853,2
"66",4473680,1999,4474963,2
"67",8768560,2000,8760874,2
"68",5105900,2001,5086597,2
"69",1316070,2002,1312628,2
"70",5760720,2003,5776211,2
"71",2064430,2004,2070064,2
"72",6694740,2005,6702293,2
"73",4096920,2006,4085742,2
"74",6912250,2007,6923726,2
"75",5430370,2008,5438988,2
"76",4118280,2009,4113597,2
"77",2736090,2010,2756569,2
"78",1711080,2011,1721589,2
"79",1645230,2012,1666366,2
"80",1681620,2013,1699611,2
"81",787682,2014,787734.4,2
"82",2701790,2015,2714097,2
"83",1184440,2016,1186099,2
"84",757999,2017,756460.3,2
"85",1845300,2018,1849520,2
"86",1660768.43114148,2019,1637218,2
"87",1783464.53220856,2020,1790065,2
"88",2460739.33263454,2021,2466414,2
"89",2653861.96775739,2022,2613042,2
"90",2688177.94425656,2023,2730986,2
"91",2963177.40747675,2024,2954525.5,2
"92",2674046.02502039,2025,2632796,2
"93",2780761.79480193,2026,2740046.5,2
"94",2938651.99053278,2027,2981395,2
"95",2561803.51678687,2028,2560832,2
"96",2758771.93857878,2029,2793474,2
"97",2719950.44811493,2030,2654999,2
"98",2964330.63751081,2031,2856234,2
"99",2813763.01940497,2032,2730203.5,2
"100",2862657.75038563,2033,2842179,2
"101",2733371.40362049,2034,2702950.5,2
"102",2822865.65443136,2035,2856996,2
"103",2842912.17030827,2036,2709162.5,2
"104",2793157.55097966,2037,2680939,2
"105",10390600,1986,10386280,3
"106",16225800,1987,16324875,3
"107",16847800,1988,16988885,3
"108",30233800,1989,30385850,3
"109",4526620,1990,4569884,3
"110",4628870,1991,4664601,3
"111",8321060,1992,8386960.5,3
"112",8306270,1993,8384590.5,3
"113",10593000,1994,10676195,3
"114",3499470,1995,3504318,3
"115",3785520,1996,3798798.5,3
"116",3111340,1997,3108981.5,3
"117",5080230,1998,5082739.5,3
"118",4473680,1999,4458715.5,3
"119",8768560,2000,8812286.5,3
"120",5105900,2001,5087680.5,3
"121",1316070,2002,1312325.5,3
"122",5760720,2003,5763496.5,3
"123",2064430,2004,2079265,3
"124",6694740,2005,6747189,3
"125",4096920,2006,4085575,3
"126",6912250,2007,6925637,3
"127",5430370,2008,5458394.5,3
"128",4118280,2009,4149308,3
"129",2736090,2010,2750432,3
"130",1711080,2011,1723376.5,3
"131",1645230,2012,1666367,3
"132",1681620,2013,1692806.5,3
"133",787682,2014,792816.45,3
