"","rhoF","Year","Scenario"
"1",NA,1984,1
"2",NA,1985,1
"3",NA,1986,1
"4",NA,1987,1
"5",NA,1988,1
"6",NA,1989,1
"7",NA,1990,1
"8",NA,1991,1
"9",NA,1992,1
"10",NA,1993,1
"11",NA,1994,1
"12",NA,1995,1
"13",NA,1996,1
"14",NA,1997,1
"15",NA,1998,1
"16",NA,1999,1
"17",NA,2000,1
"18",NA,2001,1
"19",NA,2002,1
"20",NA,2003,1
"21",NA,2004,1
"22",NA,2005,1
"23",NA,2006,1
"24",NA,2007,1
"25",NA,2008,1
"26",NA,2009,1
"27",NA,2010,1
"28",NA,2011,1
"29",NA,2012,1
"30",NA,2013,1
"31",NA,2014,1
"32",NA,2015,1
"33",NA,2016,1
"34",NA,2017,1
"35",NA,2018,1
"36",NA,2019,1
"37",-0.122351607581123,2020,1
"38",-0.155932012815671,2021,1
"39",-0.179473914608112,2022,1
"40",-0.20558423722347,2023,1
"41",-0.234238364956067,2024,1
"42",-0.262364796851377,2025,1
"43",-0.287796879207989,2026,1
"44",-0.353499804417661,2027,1
"45",-0.375795602898669,2028,1
"46",-0.357237884353851,2029,1
"47",-0.326772156016181,2030,1
"48",-0.292282231811081,2031,1
"49",-0.256080402984384,2032,1
"50",-0.228245771919846,2033,1
"51",-0.204234920350869,2034,1
"52",-0.197061438388631,2035,1
"53",-0.194292254021752,2036,1
"54",-0.203186848613523,2037,1
"55",-0.210713402026468,2038,1
"56",-0.212854597426796,2039,1
"57",NA,1984,2
"58",NA,1985,2
"59",NA,1986,2
"60",NA,1987,2
"61",NA,1988,2
"62",NA,1989,2
"63",NA,1990,2
"64",NA,1991,2
"65",NA,1992,2
"66",NA,1993,2
"67",NA,1994,2
"68",NA,1995,2
"69",NA,1996,2
"70",NA,1997,2
"71",NA,1998,2
"72",NA,1999,2
"73",NA,2000,2
"74",NA,2001,2
"75",NA,2002,2
"76",NA,2003,2
"77",NA,2004,2
"78",NA,2005,2
"79",NA,2006,2
"80",NA,2007,2
"81",NA,2008,2
"82",NA,2009,2
"83",NA,2010,2
"84",NA,2011,2
"85",NA,2012,2
"86",NA,2013,2
"87",NA,2014,2
