"","F_full","Year","Fest","Scenario"
"1",0.96721,1986,0.9003085,1
"2",0.836977,1987,0.8367257,1
"3",0.852962,1988,0.7398639,1
"4",0.6555,1989,0.788002,1
"5",0.956372,1990,1.071481,1
"6",1.19324,1991,1.197897,1
"7",1.2111,1992,1.264338,1
"8",1.31222,1993,1.446948,1
"9",1.60134,1994,1.53406,1
"10",1.4559,1995,1.259,1
"11",1.05505,1996,1.022841,1
"12",0.990981,1997,0.9282514,1
"13",0.862996,1998,0.8135042,1
"14",0.762063,1999,0.6395675,1
"15",0.524024,2000,0.5787408,1
"16",0.624922,2001,0.6514244,1
"17",0.666422,2002,0.598296,1
"18",0.531522,2003,0.5472915,1
"19",0.558618,2004,0.6031502,1
"20",0.647474,2005,0.7621613,1
"21",0.879411,2006,0.7448753,1
"22",0.582746,2007,0.611639,1
"23",0.617485,2008,0.7221364,1
"24",0.82387,2009,0.8862877,1
"25",0.934049,2010,0.9949696,1
"26",1.04277,2011,1.269484,1
"27",1.50474,2012,1.606408,1
"28",1.69086,2013,1.956642,1
"29",2.17901,2014,2.381613,1
"30",2.22469,2015,1.82881,1
"31",0.370279,2016,0.4957344,1
"32",0.459487,2017,0.5806632,1
"33",0.419339,2018,0.4339369,1
"34",0.0447041146588323,2019,0.0682651,1
"35",0.0473013147765527,2020,0.06815787,1
"36",0.0731643882451695,2021,0.1052008,1
"37",0.0773312832921723,2022,0.1057266,1
"38",0.145825435087445,2023,0.20762135,1
"39",0.152351310859809,2024,0.21763485,1
"40",0.186506935937143,2025,0.2315574,1
"41",0.195255662023008,2026,0.23267915,1
"42",0.174353380201294,2027,0.21623455,1
"43",0.183571645995773,2028,0.2209135,1
"44",0.158914147179147,2029,0.2058384,1
"45",0.168972145822636,2030,0.2117073,1
"46",0.15863468377161,2031,0.20073745,1
"47",0.168931335123805,2032,0.20897855,1
"48",0.160998835925774,2033,0.19450975,1
"49",0.175507900983142,2034,0.19730515,1
"50",0.161235630997784,2035,0.17442475,1
"51",0.171187755840294,2036,0.17347155,1
"52",0.156164317263786,2037,0.1539334,1
