"","rhoSSB","Year","Scenario"
"1",NA,1984,1
"2",NA,1985,1
"3",NA,1986,1
"4",NA,1987,1
"5",NA,1988,1
"6",NA,1989,1
"7",NA,1990,1
"8",NA,1991,1
"9",NA,1992,1
"10",NA,1993,1
"11",NA,1994,1
"12",NA,1995,1
"13",NA,1996,1
"14",NA,1997,1
"15",NA,1998,1
"16",NA,1999,1
"17",NA,2000,1
"18",NA,2001,1
"19",NA,2002,1
"20",NA,2003,1
"21",NA,2004,1
"22",NA,2005,1
"23",NA,2006,1
"24",NA,2007,1
"25",NA,2008,1
"26",NA,2009,1
"27",NA,2010,1
"28",NA,2011,1
"29",NA,2012,1
"30",NA,2013,1
"31",NA,2014,1
"32",NA,2015,1
"33",NA,2016,1
"34",NA,2017,1
"35",NA,2018,1
"36",NA,2019,1
"37",0.0597781073815714,2020,1
"38",0.0766576469597102,2021,1
"39",0.0882583734193613,2022,1
"40",0.102051780725559,2023,1
"41",0.112889545875712,2024,1
"42",0.125892136395268,2025,1
"43",0.143476255761346,2026,1
"44",0.212049196206822,2027,1
"45",0.291769366236756,2028,1
"46",0.309867920527624,2029,1
"47",0.27116661043021,2030,1
"48",0.256425426217932,2031,1
"49",0.213631799901197,2032,1
"50",0.174962971606608,2033,1
"51",0.14971731740469,2034,1
"52",0.141389439592762,2035,1
"53",0.136862082641536,2036,1
"54",0.136908886387147,2037,1
"55",0.147761317012601,2038,1
"56",0.134277603556784,2039,1
