"","SSB","Year","SSBest","Scenario","F_full","Fest","Catchsim","Catchest","R","Rest","REESSB","REEF","rhoF","rhoSSB"
"1",21895.3717925838,1986,22955.68,1,0.96721,0.9003085,9759.32208492558,9342.426,10390600,12582490,NA,NA,NA,NA
"2",23896.380080107,1987,24277.11,1,0.836977,0.8367257,9798.10963670389,9807.849,16225800,16515020,NA,NA,NA,NA
"3",23961.6138107272,1988,25471.55,1,0.852962,0.7398639,9487.34624629892,9382.781,16847800,20196780,NA,NA,NA,NA
"4",24992.446005534,1989,27549.88,1,0.6555,0.788002,8770.95389353152,9533.863,30233800,26421520,NA,NA,NA,NA
"5",26163.6353014542,1990,33961.84,1,0.956372,1.071481,14259.9563987235,15822.6,4526620,4618145,NA,NA,NA,NA
"6",32447.2642930411,1991,32684.81,1,1.19324,1.197897,17892.2514664439,17461.98,4628870,6037140,NA,NA,NA,NA
"7",35144.975446682,1992,26823.68,1,1.2111,1.264338,16843.5045091623,14687.38,8321060,8220762,NA,NA,NA,NA
"8",29804.5055978417,1993,16432.73,1,1.31222,1.446948,11258.8013273507,9708.461,8306270,9311228,NA,NA,NA,NA
"9",18581.1223609419,1994,11253.34,1,1.60134,1.53406,7568.32881891865,6565.665,10593000,9169026,NA,NA,NA,NA
"10",12246.7072743189,1995,10760.93,1,1.4559,1.259,5812.46592980664,5332.432,3499470,3552870,NA,NA,NA,NA
"11",10606.8394096108,1996,11119.5,1,1.05505,1.022841,5004.95249693247,5164.251,3785520,3347225,NA,NA,NA,NA
"12",11158.2425540304,1997,10294.49,1,0.990981,0.9282514,5452.38701018425,4777.869,3111340,3807874,NA,NA,NA,NA
"13",11427.4674038658,1998,8675.827,1,0.862996,0.8135042,4213.11611145766,3682.869,5080230,4649134,NA,NA,NA,NA
"14",9426.17152349796,1999,8167.364,1,0.762063,0.6395675,3321.0025799604,2889.371,4473680,5419222,NA,NA,NA,NA
"15",8295.84936650059,2000,9283.713,1,0.524024,0.5787408,2429.53002823588,2814.571,8768560,7537526,NA,NA,NA,NA
"16",8487.57056849588,2001,11392.99,1,0.624922,0.6514244,3527.58639413026,3829.701,5105900,4049423,NA,NA,NA,NA
"17",10685.6185184123,2002,12934.25,1,0.666422,0.598296,4393.98620097736,4195.073,1316070,1837512,NA,NA,NA,NA
"18",12810.6055242548,2003,13384.94,1,0.531522,0.5472915,4240.30131145634,4334.658,5760720,4764557,NA,NA,NA,NA
"19",13890.4673675343,2004,12741.11,1,0.558618,0.6031502,4684.84265530354,4564.123,2064430,2831757,NA,NA,NA,NA
"20",13703.0695376649,2005,11662.64,1,0.647474,0.7621613,4707.14899084329,4870.861,6694740,5552647,NA,NA,NA,NA
"21",12533.3631238357,2006,10519.83,1,0.879411,0.7448753,5284.61296492874,4617.845,4096920,5090392,NA,NA,NA,NA
"22",11440.9025646292,2007,10512.14,1,0.582746,0.611639,3162.68866199056,3445.956,6912250,6187585,NA,NA,NA,NA
"23",9960.38801399675,2008,11940.12,1,0.617485,0.7221364,3897.52122203001,4426.829,5430370,4754299,NA,NA,NA,NA
"24",11613.6339931348,2009,12348.47,1,0.82387,0.8862877,5274.08022468814,5418.358,4118280,3390424,NA,NA,NA,NA
"25",12673.032481477,2010,11376.75,1,0.934049,0.9949696,5663.6127072351,5500.362,2736090,2158098,NA,NA,NA,NA
