,F/FMSY,Year,Scenario,SSB/SSBMSY,SSBCI_Lower,SSBCI_Upper,FCI_Lower,FCI_Upper,CatchCI_Lower,CatchCI_Upper,RCI_Lower,RCI_Upper,OM,Rho,Frequency,HCR,SSB,SSBest,F_full,Fest,R,Rest,Catchsim,Catchest,REESSB,REEF,rhoSSB
1,0.407502686,2019,1,0.170461471,4278.680045,4278.680045,0.070661992,0.078444282,205.3970278,227.3605722,2254075.1,2474807.51,1,2,1,1,4278.680045,1921.993,0.074239729,0.1707761,2355081.168,673145.8,215.5089273,216.8433,4.160674624,326.7839659,NA
2,0.455072773,2020,1,0.188201226,4721.658302,4722.752914,0.079587184,0.088797124,280.3912338,310.6139954,3719368.457,4045717.229,1,2,1,1,4722.159191,2580.555,0.084437274,0.1759238,3894280.567,1206441,296.130701,294.4178,13.58801255,-33.14645797,0.116133048
3,0.667225853,2021,1,0.275805219,5793.322938,5823.592186,0.117249657,0.12862728,502.4610304,543.32655,3355017.755,3646564.42,1,2,1,1,5809.750578,3315.778,0.122734648,0.2304455,3514836.354,1153769,528.3308344,530.0314,-7.92623262,-54.45223872,0.161892527
4,0.785656753,2022,1,0.324491244,6791.153447,6869.699229,0.13764566,0.150541038,681.7297477,731.0081681,4871348.794,5259163.238,1,2,1,1,6826.740111,4049.886,0.143548286,0.2473848,5070596.245,1683373,706.5340734,709.4195,23.78479261,-41.1955973,0.200487443
5,1.224543017,2023,1,0.389418447,7689.945663,7850.789065,0.214170414,0.232192665,1055.493952,1131.080311,5119150.191,5596568.199,1,2,1,1,7772.043056,4634.185,0.222005939,0.3734969,5333389.674,1800475,1089.079074,1108.484,7.89181695,-64.00358718,0.24128635
6,1.424161076,2024,1,0.418627171,8226.453637,8497.026155,0.251750243,0.271253406,1271.279751,1363.861243,5602579.144,6123050.767,1,2,1,1,8367.698914,4962.853,0.259626789,0.4319717,5812091.236,1955272,1321.873524,1319.352,28.1802691,-44.55860906,0.286724168
7,1.687941894,2025,1,0.467827579,8573.688408,8871.667638,0.292100299,0.319241502,1537.809969,1653.127485,4359673.682,4671887.477,1,2,1,1,8723.361959,5338.184,0.308248931,0.5044271,4500225.844,1487562,1594.503179,1600.507,22.63645974,-56.46987119,0.328873414
8,2.04629701,2026,1,0.502829599,9253.77629,9637.315529,0.357110506,0.386465411,1906.381623,2050.121496,4469232.651,4828587.183,1,2,1,1,9458.66353,5589.069,0.373311894,0.6289366,4623995.015,1518782,1967.86626,1981.015,14.31069155,-39.20223094,0.377562001
9,1.461530129,2027,1,0.609211208,9693.803114,10078.23064,0.255619925,0.276827639,1464.306432,1566.199073,5428451.392,5809818.534,1,2,1,1,9883.434104,5187.873,0.267514661,0.4648409,5560120.223,1767810,1515.360071,1518.334,8.878442608,-25.54025056,0.581477255
10,1.761531938,2028,1,0.589282262,9374.653606,9756.925448,0.303856924,0.340188343,1790.722592,1909.642452,3201004.7,3527791.952,1,2,1,1,9604.631345,5298.524,0.321900714,0.5769017,3319405.09,1089827,1843.635428,1860.364,-5.40934583,-25.63485893,0.731460933
11,1.098542287,2029,1,0.67495718,9573.621423,9971.058976,0.193247731,0.210120959,1123.969879,1231.571247,3407065.638,3692116.246,1,2,1,1,9748.566305,4895.394,0.201681051,0.3780883,3542056.21,1148534,1180.899291,1180.79,-8.864436716,5.255090504,0.689536038
